período,função,Features,
2,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,mínimo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz']],
4,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,mínimo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_X..commit', '4_file.nr', '4_plist.sz']],
8,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz']],
8,máximo,[['2_kbcommit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_tcp6sck']],
8,mínimo,[['2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
16,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz']],
16,máximo,[['4_cpu5_.soft', '4_pswpout.s', '4_pgpgout.s', '4_bwrtn.s', '4_dev8.0_avgqu.sz', '4_dev8.0_await', '4_dev8.5_avgqu.sz', '4_dev8.5_await', '4_dev252.1_tps', '4_dev252.1_wr_sec.s', '4_dev252.1_.util', '5_cpu0_.irq']],
