período,função,carga,apps,feature,método,nmae
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10378749338123074,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.0963667282688068,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08492301438081204,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08359308569202364,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12254680388096414,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11025647090152875,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10234807059775672,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08646651517824101,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07133704400752813,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0731458308306304,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.14621200632596026,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1298379875358363,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0791527714260756,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07102835913694498,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0383761249853898,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.03658329112608927,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.17052352914327445,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.15200640528245624,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07362742809720169,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.06438855606559644,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0038124285169653066,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.002938746981827424,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.24489992301770594,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1982021426738517,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06663723478848001,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.05821067165277309,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,1.2718762718761995e-06,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.31736526946107785,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.24014114627887087,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.061974424552429665,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.051919778346121055,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.00030413625304136254,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.00028132603406326055,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.3935607880826526,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.32357039884670824,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06107467695235367,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.04665395449879444,
