período,função,carga,apps,feature,método,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09688678363302067,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08857099962287228,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08640891646933942,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08347452855855424,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11592543574014552,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10393584775964493,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08667128858352045,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07387629646492345,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06861664830211359,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0701300544258573,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12607247160627366,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10949948923937639,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0737263184177946,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.05829757037283644,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.04104579231996265,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.03454719941900427,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.13943277883828742,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12373264162917143,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.04108251125247399,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.034229827797960174,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0010665041517483051,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0014569208501561666,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.17203369719981015,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13924856115295733,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.039979120448910346,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.032119404932793943,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.00015260186174271325,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.00015768859046747007,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.18102697998259354,
