período,função,carga,apps,feature,método,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10379486755907055,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09661308973769932,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09299666118706543,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09110228475547706,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12529443930344072,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1152504661955638,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10580860106799796,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09184842870759102,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07475889059723248,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.07413523425384211,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.15081645983017636,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13673670077654404,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08966251816155903,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07835288663223079,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.03381586115651023,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.03605663216333307,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.18672142986098575,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.15424866100980922,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07819254857048523,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.06566555063746075,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.003965530389689621,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0028673835125448024,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.25537766427659364,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.22194201617391876,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07036364492681574,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.06314817915883889,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0003052037234854265,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.00026450989368736924,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.32500998801438274,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.2614712345185777,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09420769400454519,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07149431508243088,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0003040437823046519,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0003623188405797101,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.47579864472410455,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.3719667634720878,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06244124872110475,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.05420559615128269,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0008504428341384851,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.4584615384615385,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.45996581196581193,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07501883488424181,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.06531577277324156,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.006119951040391676,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.003641370869033045,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,1.1024844720496894,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.8187370600414079,
2,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2569371065557498,
2,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.21728489045999755,
2,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.30161453386844767,
2,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23248322661683163,
2,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26977116798816814,
2,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2475719978636868,
4,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2374548354385516,
4,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.20581024375462859,
4,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.30265980504395956,
4,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2194868047142164,
4,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2872461245741088,
4,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2750012291233401,
8,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.20863217506587886,
8,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.1790745044764882,
8,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3128668442877461,
8,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.22670142297188106,
8,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3179868191992042,
8,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.310491793086297,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.15146976402605183,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.12456005858011926,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.29137382425958946,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2552455214051773,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.4062764456981664,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3867236718382699,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.16781377188048047,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.14076329373614374,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32694163824721706,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.28661336679321364,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.46354166666666663,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.46700892857142856,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.180431503705161,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.12506527750453586,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2890471766284712,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.26596813598981456,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.5764105472072583,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.4759805311407239,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.1639090314223522,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.14180816518212858,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2163629313687476,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.25600200336047557,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.782793867120954,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.7325951164111302,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.1354721507489659,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.14340130413637628,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.29639344262295086,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2669262295081967,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.5635910224438903,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.3215295095594348,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.13815818980983136,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.13020225974763786,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11822028324637172,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12158255506350388,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.17599666620363938,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.16303518235557407,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.13110847585272778,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.11645431604741217,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.08899004869786152,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0893455783753264,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.22137645147996413,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.18509591686666182,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.10316411760754192,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.08394134738114964,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.03351841267249122,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0323511200021774,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.2212022198018775,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.18289551026053283,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.07185890502317396,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.06034347159251185,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.000400576830636116,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.00032980825722373435,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.29989776212654773,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.23423359460789878,
32,média,PeriodicLoad,BothApps,DispFrames,RT,0.06596845695278657,
32,média,PeriodicLoad,BothApps,DispFrames,RF,0.05421683644325079,
32,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0011214354373598205,
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.000885132970201854,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.3143222506393862,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.2775895140664961,
64,média,PeriodicLoad,BothApps,DispFrames,RT,0.08027818273610647,
64,média,PeriodicLoad,BothApps,DispFrames,RF,0.06232677395383664,
64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.001281640499839795,
64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0020025632809996703,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.47781774580335734,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.37560451638689046,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.0749065803864382,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.07433163203305382,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0032010243277848915,
128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0022673922321809633,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.6813793103448276,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.4945057471264368,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.0799697741456998,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.062327763939809495,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.003773584905660378,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.005073375262054514,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.8020134228187918,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.6284395973154362,
