período,função,carga,apps,feature,método,switch,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12188784892249839,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.11709035827186512,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.10904236346775097,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.10676877357347563,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.14933605076270118,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.14290999565771595,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1250317451267991,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.11807662539368277,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08411684345869495,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.0839365356798457,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.183914657174484,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.17541866379923646,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.11322614619163981,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.10527388234317525,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.03085412295018264,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.03316202948110152,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.21376043311527182,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.2061812918264531,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.09439987497395291,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.09051751232895743,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.0010673985971332723,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.0013151875571820676,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.3391407642051079,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.30145350755625955,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.10109155737192187,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.08819395212577409,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.0,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,3.815628815628599e-06,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.3941590279258154,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.34737262843743344,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.082531197981824,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.07916507273498001,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.0,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,1.0137875101378175e-05,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.4001870032725573,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.35368552282998283,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08161434523025149,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.0739161083123,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.0006035003017501509,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.0006638503319251668,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.6044303797468354,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.5731100562587904,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.07194027049291442,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.06867133651028687,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.0024509803921568627,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.001960784313725492,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,1.0923566878980893,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.9369161358811042,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.13854180842558797,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.13873423701059978,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.12109491354577091,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.12108428230904823,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.16283411090920336,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.16293489225325095,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1370280488464504,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.13699698850739697,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08780060724746686,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0878203948086326,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.19660748256717464,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1965916507994744,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.12778911013579194,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.12763905696507719,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.03652098773891231,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.03654660938989024,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.2663861260155959,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.26635453639536794,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.11327959602387161,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.11349630317705088,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.001511731317579799,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0014971575643914963,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.33898809523809526,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.33896745471444406,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1096588516988898,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.10949913971839606,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.00013082155939292406,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.00012428048142284118,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.4175126895283451,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.4169481095117102,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.11260819121895141,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.11265372073033708,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.0004331189729056788,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.00043957273243575197,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.5391036575460094,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.5398734668360834,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.09481320367396315,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0945672057575661,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.0005274261603374816,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0005318213783397733,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.7540259156617481,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.7524556837190721,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.06798227963831231,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0680887051763383,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.001054852320675111,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.00115594233473848,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,1.089131383675251,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,1.089492943401717,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.13834323634129317,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13826084069945824,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.12143530687073789,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.12146311003757408,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1649516277425838,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.16502919143133787,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1348070939797516,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1346668724745043,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.09058892746981857,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.09043161120543332,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.20257548120984079,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.2026451873280028,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.12369208838203845,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.12374765695115629,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.03774685282673375,
