período,função,carga,apps,feature,método,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08430677578217032,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07739040447809473,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0713274173993663,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0721244723374052,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0957665433621044,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0884484527209558,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0833480276737649,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07535836903193686,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06956939908229307,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.06696071359395141,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11460669311712955,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09291246190558336,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0724063065391574,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.055273929525286467,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.033863380117413786,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.03587924264219899,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.13344824457951554,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10625623695908555,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.04426818240537399,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.03874564009817853,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0020568294355145884,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0018816180391559372,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.18580557707203718,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.14829186031500127,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05184889128809899,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.042070538507322196,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.00012464387464387406,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.20926385442514475,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1737213950923628,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06029954059454893,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.037794424644458625,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0003040437823046519,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0004459308807134857,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.28868360277136257,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.22950731331793686,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05318211109679082,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.04154573183829531,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0012077294685990338,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0007598631239935542,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.4104560622914349,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.3299221357063404,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05058604827021236,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.04657560862898314,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0012254901960784314,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0013888888888888796,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.778061224489796,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.609141156462585,
2,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2105981813427849,
2,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.1778104075139315,
2,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2598395969233765,
2,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.20535620111641192,
2,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.18955623958811793,
2,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.183405088196782,
4,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.20316103893554582,
4,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.17029132137447286,
4,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2914262622634308,
4,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.21605106301775812,
4,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.19231442577030813,
4,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.18688482337379395,
8,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.15780123114154287,
8,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.12706710777770308,
8,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.30063448495335837,
8,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.21973715615490183,
8,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.16803331611570246,
8,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.16653592028236913,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.10567555228896781,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.08668934750629484,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2623334595655317,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.22501090187167921,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.15162060730126237,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.1784356874786762,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.10492729871244359,
