período,função,carga,apps,feature,método,nmae
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09674022661208992,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09572902453975596,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10402923872348013,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09554064895703333,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.101396271673305,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0965883515702504,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0969228493231748,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09354821609093375,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0943817904216792,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09174546567633152,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09719362717968019,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09330365598380477,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10029078392973713,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09730054348901154,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09644550112970156,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09416542374883707,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09898117386489479,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09390088593576966,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09695609004282815,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09609909502709484,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0943098933289935,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09325779319731917,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09741921171337721,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09396756143853681,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09846729306220987,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09850485940872432,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09582632035530773,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09564861705309102,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1002040755966993,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09318706683229323,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09762235078812209,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09506310634236573,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10194909220363119,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09691010541513388,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0962475400048647,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09409521317500914,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10288682745825603,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09721100803957948,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09890427185903605,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09567298437847042,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09770017098825287,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09548848851812647,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09932479006233279,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09560353836689618,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09658985902582186,
