período,função,carga,apps,feature,método,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.13733060890039053,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.13367697750441251,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09203114645460568,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09026694865529049,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1398986901212751,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13104818281802422,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14463739776836287,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.1437357418874249,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09238317757009347,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09167177223952926,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.17812752078679575,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.18263967875815704,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.16279658078073725,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.15150113827324077,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08571428571428572,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0857012258197993,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.5314888932965067,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.31453146304001744,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.15019207732661405,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14950467693660757,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08557289054137213,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08552656527682255,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.4491350243330367,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.33288123994084,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1467207024063104,
