período,função,carga,apps,feature,método,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.13092435493238197,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.12794273209989215,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11152337373622216,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1014088758530986,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.19836931200496974,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.18623207537402298,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1375329524914414,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14116412498726785,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09006812179949465,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09143423280395828,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.3965669105303517,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.2669679557591207,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14457411883077817,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14464733890179726,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08728440462008598,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08730564044129073,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.28782125791037066,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.3349842007835034,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.15585093987882553,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.15122599867519376,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09056930462099926,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09774661054144937,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.16005493935938636,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.4166623907259598,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.15340477775820258,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.15100089205676,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08640883177618443,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09944844509282545,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.828444026009632,
