período,função,carga,apps,feature,método,switch,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12583982800322494,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12445318583369508,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.09099300452709257,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.09111073370935227,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.20709891617220705,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.20118285105478947,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.13072308790663026,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.13163589348287946,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08613739968229492,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.08613787399768534,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.30522999304466986,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.29302960283103857,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1279472019086147,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12856132656501218,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.09026738967838445,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.09026725982714201,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.5236067691512725,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.4786055957455971,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1230784421739718,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.13006466039919207,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08722743046563423,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.08724352998049067,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.4311879493324204,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.41736095982073396,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.17999278655973194,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.16437406169258162,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08704951397484166,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.0870496865996537,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.5475110782483699,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.5950212947115691,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1314977882615271,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.13454702858398845,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08645221396961776,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.08645221396961776,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.4428697092000414,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.5795540549863741,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1330443510822197,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.13698332703364752,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08717247523008954,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.08717247523008954,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.6011110073755951,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.6713319553798966,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.13426903416306832,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.13775508769794112,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.08451650236633806,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.08452227182232142,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.5550315688990574,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.6212555706007168,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14288104095135587,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1429473431004131,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.09842397088575275,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0984144244735786,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.19013094010545603,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1901762647863341,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1410634986409369,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14105206791486818,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.09015644068729654,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0901533329844536,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.26430054873296327,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.26397795680405134,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.142267126077754,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14216944509780585,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08558307528202606,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0855842575333963,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.3593691853591568,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.3588125566134373,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1430878941647183,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14313417139490833,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08317521718533949,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08317875601482635,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.45028542341427547,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.45014693780881865,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14136120883594339,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14127678736020288,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08759252719145189,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08760675338539747,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.5397648164734887,
