período,função,carga,apps,feature,método,nmae,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.13424452688823002,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.12869681901519348,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10688309936605764,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10516513455279912,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.21199384293258844,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1857859676218414,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1491413919034422,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14310180268849232,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.18083181702721055,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11890133901494532,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.34961819397715904,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.333583896235854,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14348560577838487,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.13672026987872016,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08662757022878656,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09265286914070582,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.15738361802733272,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.32687308928024583,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.15162236673762944,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.13908636468212654,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08968581929937496,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10438513611728306,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.5200741454119937,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.4144920538762379,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.13706686052533454,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.1350145836354283,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08845826765120716,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0987886833153572,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.8835985122430005,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.7630282484416434,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.12579395407620403,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.13916662638775712,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08788332668218027,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10728068038704527,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.9542499623253324,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.7565879136202152,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1446429979167313,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.1383346816181906,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1314092261750464,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10966620179795324,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.433414884463473,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.6526579275646276,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14047822741922955,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.13929022317711032,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.13251063785677636,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10315801385210481,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.7278907681209813,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.6774019457750147,
2,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3455180169931157,
2,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2585204212091072,
2,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.38240274569849214,
2,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3069059042465765,
2,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.36995983315309744,
2,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3919113529275452,
4,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3728880160341339,
4,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2609635098120852,
4,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.1481965162097496,
4,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.1622237377548192,
4,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.7818843948551061,
4,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.6899324926390825,
8,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.36452418002962805,
8,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.27029671337747224,
8,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.108977302281973,
8,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.466499353007472,
