período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0538554803676722,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.048011896496336755,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0024479804161566705,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0016115871073031412,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.9968750000000001,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.9839843750000002,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06513676402410756,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.048667387832895495,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0012077294685990338,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0007447665056360713,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.6074074074074074,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.5336728395061728,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07289925346014474,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.06118537861718808,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.00030413625304136254,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.00021289537712895247,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.3600569259962049,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.33060958254269446,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06437869080998106,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.05623867629475311,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0003051571559353067,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0003051571559353067,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.23821820529373788,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.2349167921956818,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08093807429432778,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.0617934674127761,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0024395822215445605,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0019040176869711055,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.2177118238391575,
