período,função,carga,apps,feature,método,nmae,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06978310656068976,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.04909092322200233,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0036719706242350062,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.002029783761729904,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.9343750000000001,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.7318489583333333,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.051305825992891366,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.04327782928965127,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.000558574879227045,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.4506172839506173,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.4404938271604938,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05554401885558243,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.04464564449197565,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.00030413625304136254,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.00036749797242497826,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.3657495256166983,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.26688804554079704,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05564344752327397,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.03755110352281449,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0003051571559353067,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0003051571559353067,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.24015493867010973,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.19216340291227313,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05536971649218444,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.0429585492852079,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0021346344438514906,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0019046529948413002,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.15385351842987074,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1448125099728738,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07082094053536887,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.05900072450203485,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.03043630560853151,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0336803798700035,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11940773039015307,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10711495662442658,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08544017471790338,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07567235193177682,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0693568473064717,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0684849489146882,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11464677222898903,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10068495881909403,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07947215290792185,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07519038423706526,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07523997021411157,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.07442170833630851,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09594340316832932,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08624122682532841,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.0689006316677583,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.04799389054792644,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.008827238335435056,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.006578394283312318,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.696969696969697,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.47338383838383846,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.041394589552238806,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.03550046456704573,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0051216389244558265,
128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.003707853179684164,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.40787801778907246,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.3656289707750953,
64,média,PeriodicLoad,BothApps,DispFrames,RT,0.04493073295895745,
64,média,PeriodicLoad,BothApps,DispFrames,RF,0.04172012214106993,
64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.002242152466367713,
64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0018017296604740485,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.2692307692307692,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.23993684012066363,
32,média,PeriodicLoad,BothApps,DispFrames,RT,0.04802635283518216,
32,média,PeriodicLoad,BothApps,DispFrames,RF,0.036649773823601184,
32,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.000801153661272232,
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.00087859851519521,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.21633165829145726,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.17612437185929647,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.05205042016806722,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.04176858076563959,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.001042418410712854,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0012054633416192222,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1852621852621853,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.16238738738738737,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.09611969155369707,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.07090162091679593,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.030873248615184097,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0305328147062018,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.17137358922348783,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13826866732546247,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.11592008151730271,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.09719530937730464,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.08537902696291276,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.08176755695818243,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1741598932427514,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14351308180678554,
