período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06200527704485488,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10329815303430079,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.16226912928759896,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13599384344766932,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12401055408970976,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1285839929639402,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.15868852459016392,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14763387978142078,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10491803278688525,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1176775956284153,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1245901639344262,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12928415300546447,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14061979340219927,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.12472786848828166,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.15361546151282907,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12421692769076974,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.13295568143952016,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12408919249139175,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10542068506817427,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09936952666001553,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10591952111739275,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11175451723755682,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12304622547389425,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10739801574104867,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10556606100468634,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10435610732001425,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11082792074323769,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09875784482994876,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11493874866398095,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10518169859409685,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1175103734439834,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10395643153526973,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1074688796680498,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10325829875518674,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1162240663900415,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10506258644536653,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.11702969472325185,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10729162328377273,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11421848319520221,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10865037552233006,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10628461954937321,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10735426818263853,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.106825663002298,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10020055690122766,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10599755708755149,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10030596788329227,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0999627352338364,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09936546384282549,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.1723625557206538,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.14711490837048044,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.16939078751857356,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.17804606240713225,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.24071322436849926,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.18520307082714213,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.20743919885550785,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.13471030042918453,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.09298998569384835,
128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13471030042918453,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.18311874105865522,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14853361945636623,
64,média,PeriodicLoad,BothApps,DispFrames,RT,0.16567425569176883,
64,média,PeriodicLoad,BothApps,DispFrames,RF,0.13030356100408638,
64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1394045534150613,
64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13879159369527144,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11348511383537654,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.1393403385872738,
