período,função,carga,apps,feature,método,nmae,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06596306068601585,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11231310466138962,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09630606860158311,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1114665787159191,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0949868073878628,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11476473175021988,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.17704918032786884,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14324043715846993,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1763934426229508,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.14497814207650275,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.14885245901639343,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.14963387978142076,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.12162612462512495,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11747750749750081,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10729756747750749,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.116186271242919,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11062979006997667,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11601688326113517,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09245094778849351,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09843005210065402,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09943465247755238,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10197733067287443,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08945793149318258,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0970097550160736,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09027378113952149,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08964619474362139,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08649181945243772,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08884869412699717,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08583408698511881,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08964825015758174,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09883817427385892,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09125829875518675,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09705394190871369,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09045297372060858,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09195020746887966,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08970746887966805,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09599766773562118,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09292754709646966,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0994544167256674,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09199412075021172,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09987089250760069,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09134580678300225,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08585388071134298,
