período,função,carga,apps,feature,método,nmae,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.12090680100755669,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14155121746431568,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10705289672544081,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1413413098236776,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09319899244332494,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.14476280436607894,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08084358523725835,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10011716461628588,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1206795547744581,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10751806287834406,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10779144698301112,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09947275922671353,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09423470880889669,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10747000292654375,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11208662569505413,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10123158716222806,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10857477319285923,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1053628914252268,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06608256608256607,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08648277398277399,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0942975942975943,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08724631224631224,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0977130977130977,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08301653301653301,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09653428528930537,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09028521493380931,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0974267440130894,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09020960384748875,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09631117060835938,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08861991174574843,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10965617868233005,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09788182623118459,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10329604549365858,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09790333844638156,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1027722698192974,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09269738236871312,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09173902534258035,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08849249143161717,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08995407470762136,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0872298557784678,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09088373649666251,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08692353221897874,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0852773071695865,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08048486089649308,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08517491110159552,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08073805844643442,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08564034777428182,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0801097965110867,
