período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07834157259194406,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.0864139879990044,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08674808871152113,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10487024321811873,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11259736622914111,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09314565129641596,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14517677926373249,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.12618402049866667,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.13391896036600098,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13133805955379504,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.14336463282582754,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12923086334614206,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.12633913097365546,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11977245440358847,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1334101528830014,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11903923891281222,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11977354422238884,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11598891486307657,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10330678350761595,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09875486155170483,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11571887952944056,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10473426838748878,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11129108812910082,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10146717449769159,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10136329110945745,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09804040112822805,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10377571739589664,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09757171944414184,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11846821049555177,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10894577482365865,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.11233373119291763,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10599387950203254,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10979325743710049,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10392427577461223,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11662853211312334,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10922236456265848,
