período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07567567567567568,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09325450450450451,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1216216216216216,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10432432432432431,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07027027027027026,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09388513513513512,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08449767132401863,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10075959192725659,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10046573519627412,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11011865158571744,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07917498336660013,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09568640496784214,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10688042752171009,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11122522823424627,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10153640614562458,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10398574927633043,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09686038744154976,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10784903139612557,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0926570528758495,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09302447649041383,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11602850986242336,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1014144427868943,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08950770760815516,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09549284490855849,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09777102330293819,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10515450861195541,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10351232691658223,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10160770573004614,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10460992907801418,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10510736800630417,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08580570098894705,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08648196625945316,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08322945233939998,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08675344192359899,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08152580403889303,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08826421784536966,
