período,função,carga,apps,feature,método,nmae,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07297297297297298,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10093468468468467,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.062162162162162166,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09797297297297296,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08513513513513514,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0975225225225225,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.11576846307385229,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09183854513195827,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08516300731869594,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09520403637170105,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08316699933466401,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09470503437569305,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10053440213760856,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09823257626363839,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09385437541750168,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09646236918281006,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08550434201736806,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10167000668002672,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10260235372120007,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09440162439913809,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08818166749544173,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09239598872865903,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09033648267860103,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09664346096469419,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0992063492063492,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.0961562816616008,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10089496791624451,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09756416751097602,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0986997635933806,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09607677586400991,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.075043630017452,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.07996516524003433,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07828471702817252,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.07929305520928556,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07350619130723843,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.078514640294745,
