período,função,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.12005277044854881,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10043975373790678,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.11672131147540983,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.11990710382513661,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.13595468177274242,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.12618016216816616,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10475557033588292,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09959677419354837,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09545342431965799,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09819945737071448,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.11394190871369296,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10557918395573997,
256,PeriodicLoad,BothApps,DispFrames,RT,0.18424962852897475,
256,PeriodicLoad,BothApps,DispFrames,RF,0.17407132243684992,
128,PeriodicLoad,BothApps,DispFrames,RT,0.12017167381974249,
128,PeriodicLoad,BothApps,DispFrames,RF,0.10848831664282307,
64,PeriodicLoad,BothApps,DispFrames,RT,0.10052539404553416,
64,PeriodicLoad,BothApps,DispFrames,RF,0.12247810858143612,
32,PeriodicLoad,BothApps,DispFrames,RT,0.15941761887209732,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15205799238235654,
16,PeriodicLoad,BothApps,DispFrames,RT,0.13235032865517854,
16,PeriodicLoad,BothApps,DispFrames,RF,0.13664505240717711,
8,PeriodicLoad,BothApps,DispFrames,RT,0.1592602448110697,
8,PeriodicLoad,BothApps,DispFrames,RF,0.1358908402814736,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10095642933049946,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10784626284094934,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09936386768447837,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09242611434865587,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11433087460484721,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12271909027046014,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1159036782217518,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11132354238334656,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11910157291388962,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11150304363280902,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11344943558323066,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11039647919372204,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.11290322580645161,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.12873655913978496,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.1035366478728857,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08147958311976763,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.0918987341772152,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09488607594936709,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.10899077868852458,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.08808593749999999,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.11780273689646269,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10412524743953867,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.11929188646881776,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.10468003279502033,
