período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.12005277044854881,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.12173482849604222,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.15737704918032785,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.14434972677595628,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.15194935021659445,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.11990169943352216,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09827070169604256,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.10072885489413591,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09849543698100797,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09398243306201869,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10473029045643154,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09179979253112035,
256,PeriodicLoad,BothApps,DispFrames,RT,0.16939078751857356,
256,PeriodicLoad,BothApps,DispFrames,RF,0.16823922734026747,
128,PeriodicLoad,BothApps,DispFrames,RT,0.09513590844062945,
128,PeriodicLoad,BothApps,DispFrames,RF,0.13739866475917975,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1394045534150613,
64,PeriodicLoad,BothApps,DispFrames,RF,0.12966141272621134,
32,PeriodicLoad,BothApps,DispFrames,RT,0.17121267969037968,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15129929966826394,
16,PeriodicLoad,BothApps,DispFrames,RT,0.15384615384615385,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1308661988511873,
8,PeriodicLoad,BothApps,DispFrames,RT,0.13961326946957603,
8,PeriodicLoad,BothApps,DispFrames,RF,0.1292664537874756,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1296493092454835,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13322706340772228,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10737913486005089,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10391009329940627,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11801896733403584,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12183438707411309,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11219899444297433,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10703007850401343,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11463609704078913,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10847996089931572,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11058572808098299,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10814269699088719,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.17419354838709677,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.14139784946236558,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.11225012813941568,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08050145224671108,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.08354430379746836,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09212025316455696,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.09759221311475409,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.08843173668032787,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10379550735863671,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09716681728203805,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10003559985760058,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09454917634874913,
