período,função,Features,
256,[['4_pgscand.s_mean', '4_pgsteal.s_mean', '4_X..vmeff_mean', '4_X..vmeff_std', '2_kbactive_median', '2_bufpg.s_75th', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range', '4_X.dev.mapper.cloud..9.root_Ifree_range', '4_X.dev.mapper.cloud..9.root_Iused_range']],
128,[['2_proc.s_mean', '4_sum_intr.s_mean', '4_runq.sz_mean', '2_proc.s_median', '2_frmpg.s_25th', '3_proc.s_25th', '3_frmpg.s_25th', '4_sum_intr.s_25th', '5_passive.s_25th', '4_pgfree.s_75th', '4_runq.sz_75th', '5_passive.s_75th']],
64,[['2_proc.s_mean', '3_proc.s_mean', '4_proc.s_mean', '4_runq.sz_mean', '5_active.s_mean', '2_proc.s_median', '3_proc.s_median', '4_runq.sz_median', '3_fault.s_25th', '5_passive.s_25th', '4_runq.sz_75th', '5_passive.s_75th']],
32,[['2_kbcommit_mean', '2_X..commit_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_plist.sz_mean', '4_runq.sz_mean', '3_kbcommit_median', '3_X..commit_median', '3_plist.sz_median', '4_runq.sz_median', '4_runq.sz_25th', '4_runq.sz_75th']],
16,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_plist.sz_mean', '3_kbcommit_mean', '3_file.nr_mean', '3_plist.sz_mean', '4_runq.sz_mean', '4_runq.sz_median', '3_plist.sz_25th', '4_runq.sz_25th', '4_runq.sz_75th']],
8,[['2_file.nr_mean', '3_file.nr_mean', '4_runq.sz_mean', '2_file.nr_median', '3_file.nr_median', '4_runq.sz_median', '2_file.nr_25th', '3_file.nr_25th', '4_file.nr_25th', '2_file.nr_75th', '3_file.nr_75th', '4_runq.sz_75th']],
256,[['2_runq.sz_mean', '2_kbcommit_median', '2_X..commit_median', '2_plist.sz_median', '4_file.nr_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_plist.sz_25th', '3_fault.s_25th', '4_file.nr_25th', '2_runq.sz_75th']],
128,[['2_runq.sz_mean', '5_tcpsck_mean', '2_fault.s_median', '2_runq.sz_median', '3_file.nr_median', '2_kbcommit_25th', '2_X..commit_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_kbcommit_25th', '3_X..commit_25th', '2_runq.sz_75th']],
64,[['5_tcpsck_mean', '2_runq.sz_median', '3_fault.s_median', '3_X..commit_median', '5_tcpsck_median', '2_runq.sz_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_runq.sz_25th', '5_tcpsck_25th', '5_tcpsck_75th']],
32,[['5_tcpsck_mean', '2_runq.sz_median', '4_runq.sz_median', '5_tcpsck_median', '2_runq.sz_25th', '2_plist.sz_25th', '3_fault.s_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '5_tcpsck_25th', '5_tcpsck_75th']],
16,[['5_tcpsck_mean', '2_runq.sz_median', '5_tcpsck_median', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_runq.sz_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '5_tcpsck_25th', '5_tcpsck_75th']],
8,[['5_tcpsck_mean', '4_runq.sz_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_runq.sz_25th', '2_plist.sz_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '5_tcpsck_25th', '5_tcpsck_75th']],
256,[['1_eth1_rxpck.s_mean', '1_eth1_rxkB.s_median', '2_frmpg.s_25th', '3_frmpg.s_25th', '4_frmpg.s_25th', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range', '4_kbbuffers_range', '4_X.dev.mapper.cloud..9.root_Ifree_range', '4_X.dev.mapper.cloud..9.root_Iused_range']],
128,[['4_bread.s_mean', '4_dev252.0_svctm_mean', '2_X.dev.mapper.cloud..7.root_Ifree_std', '2_X.dev.mapper.cloud..7.root_Iused_std', '3_X.dev.mapper.cloud..8.root_Ifree_std', '3_X.dev.mapper.cloud..8.root_Iused_std', '4_X.dev.mapper.cloud..9.root_Ifree_std', '4_X.dev.mapper.cloud..9.root_Iused_std', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range']],
64,[['2_proc.s_mean', '3_proc.s_mean', '4_proc.s_mean', '5_inode.nr_mean', '5_totsck_mean', '5_tcpsck_mean', '5_active.s_mean', '5_passive.s_mean', '2_sum_intr.s_25th', '3_fault.s_25th', '5_passive.s_25th', '5_passive.s_75th']],
32,[['2_file.nr_mean', '2_totsck_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_totsck_mean', '3_file.nr_median', '2_totsck_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_totsck_25th']],
16,[['2_file.nr_mean', '3_file.nr_mean', '2_file.nr_median', '3_file.nr_median', '2_file.nr_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_plist.sz_25th', '3_totsck_25th', '4_file.nr_25th', '3_file.nr_75th']],
8,[['2_file.nr_mean', '3_file.nr_mean', '4_file.nr_mean', '2_file.nr_median', '3_file.nr_median', '4_file.nr_median', '2_file.nr_25th', '3_file.nr_25th', '4_file.nr_25th', '2_file.nr_75th', '3_file.nr_75th', '4_file.nr_75th']],
256,[['3_i128_intr.s_mean', '3_i133_intr.s_mean', '3_cpu13_.soft_median', '3_i126_intr.s_median', '3_i128_intr.s_median', '3_i133_intr.s_median', '3_irec.s_median', '3_idel.s_median', '3_i128_intr.s_25th', '3_i133_intr.s_25th', '3_i128_intr.s_75th', '3_i133_intr.s_75th']],
128,[['3_i128_intr.s_mean', '4_pgfree.s_mean', '3_X.dev.mapper.cloud..8.root_MBfsfree_std', '3_X.dev.mapper.cloud..8.root_MBfsused_std', '3_proc.s_median', '3_i128_intr.s_median', '3_orq.s_median', '3_i128_intr.s_25th', '3_orq.s_25th', '4_pgfree.s_25th', '3_i128_intr.s_75th', '3_i132_intr.s_75th']],
64,[['3_orq.s_mean', '4_pgfree.s_mean', '3_orq.s_median', '3_iseg.s_median', '4_pgfree.s_median', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '3_orq.s_75th', '4_pgfree.s_75th', '4_runq.sz_75th']],
32,[['3_runq.sz_mean', '3_orq.s_mean', '3_kbdirty_median', '3_runq.sz_median', '3_orq.s_median', '3_runq.sz_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_sum_intr.s_75th', '3_runq.sz_75th', '3_orq.s_75th']],
16,[['3_runq.sz_mean', '3_ldavg.1_mean', '3_orq.s_mean', '3_runq.sz_median', '3_ldavg.1_median', '3_orq.s_median', '3_runq.sz_25th', '3_ldavg.1_25th', '3_orq.s_25th', '3_runq.sz_75th', '3_orq.s_75th', '4_runq.sz_75th']],
8,[['3_runq.sz_mean', '3_ldavg.1_mean', '3_orq.s_mean', '3_runq.sz_median', '3_orq.s_median', '3_runq.sz_25th', '3_ldavg.1_25th', '3_orq.s_25th', '3_runq.sz_75th', '3_ldavg.1_75th', '3_orq.s_75th', '4_runq.sz_75th']],
