período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.1146095717884131,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.1390848026868178,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.14294083186877563,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.10213825424721733,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.09569798068481125,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.1040166812993854,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09711909711909712,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.08787125037125035,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09095641826565522,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09141008478357876,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10752366343671668,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09740886926808583,
256,PeriodicLoad,BothApps,DispFrames,RT,0.1584553928095872,
256,PeriodicLoad,BothApps,DispFrames,RF,0.18354416333777188,
128,PeriodicLoad,BothApps,DispFrames,RT,0.15483434753211628,
128,PeriodicLoad,BothApps,DispFrames,RF,0.1880493576741041,
64,PeriodicLoad,BothApps,DispFrames,RT,0.14054927302100162,
64,PeriodicLoad,BothApps,DispFrames,RF,0.12887722132471727,
32,PeriodicLoad,BothApps,DispFrames,RT,0.12888817993300367,
32,PeriodicLoad,BothApps,DispFrames,RF,0.12718003934705163,
16,PeriodicLoad,BothApps,DispFrames,RT,0.15068717277486912,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1402786867364747,
8,PeriodicLoad,BothApps,DispFrames,RT,0.153409323037954,
8,PeriodicLoad,BothApps,DispFrames,RF,0.14292567171902873,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14050387596899225,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14466246770025837,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1372549019607843,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11727532679738562,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1087059942911513,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09738740881699968,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11771700356718191,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10346313912009511,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12564697483490989,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10863872528605709,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10448027607544476,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10194016382063029,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.14456721915285453,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.10408993247391038,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.09163533834586465,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.11126253132832079,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.12713068181818182,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.10638020833333334,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.12259813745137334,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.10676647412472001,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10224178879684875,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10010716561431965,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10762659801655794,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09849413451130679,
