período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.09707028584092124,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.09657325893365291,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.08971262429302444,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.11159327132605967,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.0964814641851236,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.11352786294998575,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10560391495400845,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09675192914783111,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.1037906464034235,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.0975269586206408,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.11913226292313306,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10673809802383305,
256,PeriodicLoad,BothApps,DispFrames,RT,0.20420324839645856,
256,PeriodicLoad,BothApps,DispFrames,RF,0.17254961415537504,
128,PeriodicLoad,BothApps,DispFrames,RT,0.14696201837536113,
128,PeriodicLoad,BothApps,DispFrames,RF,0.13812172457114066,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1304040975935557,
64,PeriodicLoad,BothApps,DispFrames,RF,0.1328527570736256,
32,PeriodicLoad,BothApps,DispFrames,RT,0.142184837831795,
32,PeriodicLoad,BothApps,DispFrames,RF,0.1342255010841538,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14920204149003727,
16,PeriodicLoad,BothApps,DispFrames,RF,0.139784879436336,
8,PeriodicLoad,BothApps,DispFrames,RT,0.15775449775328818,
8,PeriodicLoad,BothApps,DispFrames,RF,0.1460756759074271,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09496082938726574,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10333630596276626,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11155379476734091,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11337058131237486,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12856484088766104,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11678906638327784,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1178750022843129,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10627928224885269,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11594654999412059,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10770947918670033,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11226529849118567,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10738756150467443,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.14974479905796348,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.12033679285438552,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.1019893438570313,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.09927134823306161,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.10923111202921564,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09609285860270045,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.10778929041180572,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.10161785461224192,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.11008504103750034,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10306239107300559,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10875177198910978,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.0987592061774236,
