período,função,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.058108108108108104,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.09448198198198197,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.09314703925482368,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.09835883787979596,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10487641950567801,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.1105349588065019,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09365158296038456,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.0940480137024145,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10351232691658223,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.10252167060677699,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.08239840438793318,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.0879934347211834,
256,PeriodicLoad,BothApps,DispFrames,RT,0.17189835575485798,
256,PeriodicLoad,BothApps,DispFrames,RF,0.16471101145989037,
128,PeriodicLoad,BothApps,DispFrames,RT,0.17435897435897435,
128,PeriodicLoad,BothApps,DispFrames,RF,0.1542185592185592,
64,PeriodicLoad,BothApps,DispFrames,RT,0.12473195139385275,
64,PeriodicLoad,BothApps,DispFrames,RF,0.12337383845604001,
32,PeriodicLoad,BothApps,DispFrames,RT,0.13696193525435787,
32,PeriodicLoad,BothApps,DispFrames,RF,0.13055259101150243,
16,PeriodicLoad,BothApps,DispFrames,RT,0.1486462255693025,
16,PeriodicLoad,BothApps,DispFrames,RF,0.14478363516825055,
8,PeriodicLoad,BothApps,DispFrames,RT,0.1525805724588686,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13869093231162197,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1475409836065574,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14891621129326046,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12101781857451403,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12299469253513369,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1110219368646335,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11993490280007134,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11081153949851713,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11942909139929901,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10398200820214315,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10690457291528863,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09919242735155888,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10273134970543453,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.10253807106598985,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.08304568527918779,
