período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.0608108108108108,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10329954954954955,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.09447771124417831,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.0959359059658461,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.09385437541750168,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10069305277221109,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09381733797447374,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.0947055085916349,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.0943093549476528,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09802009456264772,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.07595778276406548,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.08039176985512064,
256,PeriodicLoad,BothApps,DispFrames,RT,0.17189835575485798,
256,PeriodicLoad,BothApps,DispFrames,RF,0.1741405082212257,
128,PeriodicLoad,BothApps,DispFrames,RT,0.15018315018315018,
128,PeriodicLoad,BothApps,DispFrames,RF,0.1595238095238095,
64,PeriodicLoad,BothApps,DispFrames,RT,0.12258756254467476,
64,PeriodicLoad,BothApps,DispFrames,RF,0.12106564212532761,
32,PeriodicLoad,BothApps,DispFrames,RT,0.13073639274279616,
32,PeriodicLoad,BothApps,DispFrames,RF,0.1266794142060951,
16,PeriodicLoad,BothApps,DispFrames,RT,0.15366684597453828,
16,PeriodicLoad,BothApps,DispFrames,RF,0.13817912856374392,
8,PeriodicLoad,BothApps,DispFrames,RT,0.134640522875817,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13436969423784842,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14863387978142079,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1400273224043716,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10745140388768899,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11602771778257738,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12386302835741039,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1258716782593187,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11081153949851713,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11486923699110273,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10973673766371213,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10619790977642546,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0973058846892169,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09998924339710068,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.08020304568527918,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.08052453468697124,
