período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.2369597615499255,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.21645553899652265,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.08156498673740054,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.08982095490716181,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.11764705882352941,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.12167692658458731,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.1297071129707113,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.12519804741980473,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09866401128537049,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.10221558376898182,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.08517823639774859,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.08494128274616079,
256,PeriodicLoad,BothApps,DispFrames,RT,0.1827637444279346,
256,PeriodicLoad,BothApps,DispFrames,RF,0.17464091134224866,
128,PeriodicLoad,BothApps,DispFrames,RT,0.1797337278106509,
128,PeriodicLoad,BothApps,DispFrames,RF,0.1704388560157791,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1048876204067071,
64,PeriodicLoad,BothApps,DispFrames,RF,0.11664585563087167,
32,PeriodicLoad,BothApps,DispFrames,RT,0.1651158547710272,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15291613452532993,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14517444494789306,
16,PeriodicLoad,BothApps,DispFrames,RF,0.14001812415043044,
8,PeriodicLoad,BothApps,DispFrames,RT,0.1229963426197679,
8,PeriodicLoad,BothApps,DispFrames,RF,0.12491270450474858,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13383297644539616,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.16674696645253392,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.17215401785714285,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.18471925976587217,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12907608695652173,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13040534420289854,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10466967365348898,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10568453170602281,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09469696969696968,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09599559188374976,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08261491861664946,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08557650700662385,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.05357142857142856,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.07682948179271706,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.09399075500770415,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08567026194144838,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.11188992731048804,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.10207467982000691,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.09871745044694907,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09101459601848252,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10271922976841008,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09966226472374014,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.08751210067763796,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.08633564590728192,
