período,função,Features,
256,[['2_proc.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_kbactive_mean', '2_runq.sz_mean', '2_plist.sz_mean', '3_cpu0_.sys_mean', '3_cpu4_.sys_mean', '3_cpu8_.sys_mean', '3_cpu10_.sys_mean', '3_proc.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_dev252.1_svctm_mean', '4_proc.s_mean', '4_sum_intr.s_mean', '4_pgscand.s_mean', '4_pgsteal.s_mean', '4_X..vmeff_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_passive.s_mean', '5_active.s_mean', '5_passive.s_mean', '2_X.dev.mapper.cloud..7.root_Ifree_std', '2_X.dev.mapper.cloud..7.root_Iused_std', '3_cpu0_.sys_std', '3_X.dev.mapper.cloud..8.root_Ifree_std', '3_X.dev.mapper.cloud..8.root_Iused_std', '4_X..vmeff_std', '4_X.dev.mapper.cloud..9.root_Ifree_std', '4_X.dev.mapper.cloud..9.root_Iused_std', '2_proc.s_median', '2_frmpg.s_median', '2_kbcommit_median', '2_X..commit_median', '2_kbactive_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '3_cpu12_.sys_median', '3_proc.s_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '4_proc.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_tcp6sck_median', '5_cpu20_.sys_median', '5_totsck_median', '5_tcpsck_median', '5_passive.s_median', '2_frmpg.s_25th', '3_cpu0_.sys_25th', '3_cpu12_.usr_25th', '3_cpu12_.sys_25th', '3_cpu14_.usr_25th', '3_cpu15_.usr_25th', '3_cpu17_.usr_25th', '3_cpu18_.usr_25th', '3_cpu23_.usr_25th', '3_runq.sz_25th', '4_frmpg.s_25th', '4_runq.sz_25th', '5_active.s_25th', '3_cpu4_.sys_75th', '3_cpu10_.sys_75th', '3_cpu12_.idle_75th', '3_cpu15_.idle_75th', '3_cpu17_.idle_75th', '3_cpu18_.idle_75th', '3_cpu21_.idle_75th', '3_cpu22_.idle_75th', '4_sum_intr.s_75th', '5_passive.s_75th', '2_kbbuffers_range', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_cpu0_.sys_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range', '4_X..swpcad_range', '4_dev252.0_svctm_range', '4_X.dev.mapper.cloud..9.root_Ifree_range', '4_X.dev.mapper.cloud..9.root_Iused_range']],
128,[['2_proc.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_runq.sz_mean', '2_plist.sz_mean', '3_cpu10_.sys_mean', '3_proc.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_runq.sz_mean', '3_plist.sz_mean', '4_proc.s_mean', '4_sum_intr.s_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_tcp6sck_mean', '5_tcpsck_mean', '5_active.s_mean', '5_passive.s_mean', '2_X.dev.mapper.cloud..7.root_Ifree_std', '2_X.dev.mapper.cloud..7.root_Iused_std', '3_X.dev.mapper.cloud..8.root_Ifree_std', '3_X.dev.mapper.cloud..8.root_Iused_std', '2_proc.s_median', '3_proc.s_median', '4_proc.s_median', '4_sum_intr.s_median', '4_fault.s_median', '4_runq.sz_median', '5_active.s_median', '5_passive.s_median', '2_proc.s_25th', '2_frmpg.s_25th', '3_cpu19_.sys_25th', '3_proc.s_25th', '3_frmpg.s_25th', '4_proc.s_25th', '4_sum_intr.s_25th', '4_fault.s_25th', '4_runq.sz_25th', '5_passive.s_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '4_sum_intr.s_75th', '4_pgfree.s_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '5_active.s_75th', '5_passive.s_75th', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_all_..usr_range', '3_all_..idle_range', '3_cpu0_.idle_range', '3_cpu1_.idle_range', '3_cpu2_.idle_range', '3_cpu3_.usr_range', '3_cpu3_.idle_range', '3_cpu4_.idle_range', '3_cpu5_.idle_range', '3_cpu6_.idle_range', '3_cpu7_.usr_range', '3_cpu7_.idle_range', '3_cpu8_.usr_range', '3_cpu8_.idle_range', '3_cpu9_.idle_range', '3_cpu10_.usr_range', '3_cpu10_.idle_range', '3_cpu11_.idle_range', '3_cpu12_.idle_range', '3_cpu13_.idle_range', '3_cpu14_.usr_range', '3_cpu14_.idle_range', '3_cpu15_.idle_range', '3_cpu16_.idle_range', '3_cpu17_.usr_range', '3_cpu17_.idle_range', '3_cpu18_.idle_range', '3_cpu19_.usr_range', '3_cpu19_.idle_range', '3_cpu20_.usr_range', '3_cpu20_.idle_range', '3_cpu21_.idle_range', '3_cpu22_.idle_range', '3_cpu23_.idle_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range', '4_X.dev.mapper.cloud..9.root_Ifree_range', '4_X.dev.mapper.cloud..9.root_Iused_range']],
64,[['2_proc.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '3_proc.s_mean', '3_fault.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '4_proc.s_mean', '4_sum_intr.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_tcp6sck_mean', '5_tcpsck_mean', '5_active.s_mean', '5_passive.s_mean', '4_X..vmeff_std', '5_lo_rxpck.s_std', '5_lo_txpck.s_std', '5_lo_rxkB.s_std', '5_lo_txkB.s_std', '5_estres.s_std', '5_idgm.s_std', '5_odgm.s_std', '2_proc.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '3_proc.s_median', '3_fault.s_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '4_proc.s_median', '4_sum_intr.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_tcp6sck_median', '5_totsck_median', '5_tcpsck_median', '5_active.s_median', '5_passive.s_median', '2_proc.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_proc.s_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_plist.sz_25th', '4_sum_intr.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_tcp6sck_25th', '5_tcpsck_25th', '5_passive.s_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '4_tcp6sck_75th', '5_totsck_75th', '5_tcpsck_75th', '5_passive.s_75th', '2_wtps_range', '5_odgm.s_range']],
32,[['2_proc.s_mean', '2_sum_intr.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '3_cpu13_.sys_mean', '3_proc.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '4_proc.s_mean', '4_sum_intr.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_tcp6sck_mean', '5_totsck_mean', '5_tcpsck_mean', '5_active.s_mean', '5_passive.s_mean', '2_wtps_std', '2_proc.s_median', '2_sum_intr.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '3_cpu13_.sys_median', '3_proc.s_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '4_sum_intr.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_tcp6sck_median', '5_totsck_median', '5_tcpsck_median', '5_active.s_median', '5_passive.s_median', '2_sum_intr.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '4_sum_intr.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_tcp6sck_25th', '5_totsck_25th', '5_tcpsck_25th', '5_passive.s_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '4_sum_intr.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '4_ldavg.1_75th', '4_tcp6sck_75th', '5_totsck_75th', '5_tcpsck_75th', '5_passive.s_75th', '2_wtps_range']],
16,[['2_sum_intr.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '4_sum_intr.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_ldavg.1_mean', '4_tcp6sck_mean', '5_lo_rxpck.s_mean', '5_lo_txpck.s_mean', '5_lo_rxkB.s_mean', '5_lo_txkB.s_mean', '5_totsck_mean', '5_tcpsck_mean', '5_estres.s_mean', '5_odgm.s_mean', '2_sum_intr.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '4_sum_intr.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_ldavg.1_median', '4_tcp6sck_median', '5_totsck_median', '5_tcpsck_median', '2_sum_intr.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '4_sum_intr.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_ldavg.1_25th', '4_tcp6sck_25th', '5_totsck_25th', '5_tcpsck_25th', '2_sum_intr.s_75th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '4_sum_intr.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '4_ldavg.1_75th', '4_tcp6sck_75th', '5_lo_rxpck.s_75th', '5_lo_txpck.s_75th', '5_lo_rxkB.s_75th', '5_lo_txkB.s_75th', '5_totsck_75th', '5_tcpsck_75th', '5_estres.s_75th', '5_odgm.s_75th']],
8,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_ldavg.1_mean', '4_sum_intr.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_ldavg.1_mean', '4_tcp6sck_mean', '5_lo_rxpck.s_mean', '5_lo_txpck.s_mean', '5_lo_rxkB.s_mean', '5_lo_txkB.s_mean', '5_totsck_mean', '5_tcpsck_mean', '5_estres.s_mean', '5_idgm.s_mean', '5_odgm.s_mean', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_ldavg.1_median', '4_sum_intr.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_ldavg.1_median', '4_tcp6sck_median', '5_totsck_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_ldavg.1_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_ldavg.1_25th', '4_tcp6sck_25th', '5_totsck_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_ldavg.1_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '4_ldavg.1_75th', '4_tcp6sck_75th', '5_lo_rxpck.s_75th', '5_lo_txpck.s_75th', '5_lo_rxkB.s_75th', '5_lo_txkB.s_75th', '5_totsck_75th', '5_tcpsck_75th', '5_estres.s_75th', '5_idgm.s_75th', '5_odgm.s_75th']],
256,[['2_proc.s_mean', '2_fault.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_ldavg.1_mean', '3_proc.s_mean', '3_fault.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '4_fault.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '5_tcpsck_mean', '5_idgm.s_mean', '5_odgm.s_mean', '2_X..vmeff_std', '2_fault.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_ldavg.1_median', '3_fault.s_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '4_fault.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '5_tcpsck_median', '2_fault.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '3_all_..usr_25th', '3_cpu0_.usr_25th', '3_cpu8_.usr_25th', '3_cpu9_.usr_25th', '3_cpu18_.usr_25th', '3_cpu19_.usr_25th', '3_cpu20_.usr_25th', '3_cpu21_.usr_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '4_frmpg.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '5_i136_intr.s_25th', '5_tcpsck_25th', '5_passive.s_25th', '2_fault.s_75th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '2_ldavg.1_75th', '3_all_..idle_75th', '3_cpu17_.idle_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_plist.sz_75th', '4_fault.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '5_tcpsck_75th', '5_passive.s_75th', '2_wtps_range']],
128,[['2_fault.s_mean', '2_runq.sz_mean', '2_ldavg.1_mean', '3_cpu0_.usr_mean', '3_cpu2_.usr_mean', '3_cpu6_.usr_mean', '3_cpu8_.usr_mean', '3_cpu10_.usr_mean', '3_cpu14_.usr_mean', '3_cpu17_.usr_mean', '3_cpu19_.usr_mean', '3_cpu21_.usr_mean', '3_cpu22_.usr_mean', '3_cpu23_.usr_mean', '3_eth1_txpck.s_mean', '3_oseg.s_mean', '5_tcpsck_mean', '3_cpu2_.usr_std', '3_cpu2_.idle_std', '3_cpu3_.idle_std', '3_cpu4_.idle_std', '3_cpu8_.idle_std', '3_cpu12_.idle_std', '3_cpu18_.usr_std', '3_cpu18_.idle_std', '2_fault.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_ldavg.1_median', '3_fault.s_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_plist.sz_median', '4_file.nr_median', '5_tcpsck_median', '2_fault.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '2_ldavg.1_25th', '3_all_..usr_25th', '3_cpu0_.usr_25th', '3_cpu1_.usr_25th', '3_cpu2_.usr_25th', '3_cpu3_.usr_25th', '3_cpu4_.usr_25th', '3_cpu5_.usr_25th', '3_cpu6_.usr_25th', '3_cpu8_.usr_25th', '3_cpu9_.usr_25th', '3_cpu10_.usr_25th', '3_cpu11_.usr_25th', '3_cpu12_.usr_25th', '3_cpu14_.usr_25th', '3_cpu15_.usr_25th', '3_cpu16_.usr_25th', '3_cpu17_.usr_25th', '3_cpu19_.usr_25th', '3_cpu20_.usr_25th', '3_cpu21_.usr_25th', '3_cpu22_.usr_25th', '3_cpu23_.usr_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_plist.sz_25th', '3_eth1_txpck.s_25th', '3_oseg.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '5_i141_intr.s_25th', '5_tcpsck_25th', '2_fault.s_75th', '2_ldavg.1_75th', '3_all_..idle_75th', '3_cpu0_.idle_75th', '3_cpu2_.idle_75th', '3_cpu4_.idle_75th', '3_cpu6_.idle_75th', '3_cpu7_.idle_75th', '3_cpu8_.idle_75th', '3_cpu10_.idle_75th', '3_cpu13_.idle_75th', '3_cpu14_.idle_75th', '3_cpu15_.idle_75th', '3_cpu17_.idle_75th', '3_cpu19_.idle_75th', '3_cpu20_.idle_75th', '3_cpu21_.idle_75th', '3_cpu23_.idle_75th', '5_tcpsck_75th']],
64,[['2_fault.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_ldavg.1_mean', '3_fault.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_ldavg.1_mean', '3_orq.s_mean', '4_fault.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '5_tcpsck_mean', '5_estres.s_mean', '3_cpu3_.idle_std', '3_cpu7_.idle_std', '3_cpu12_.idle_std', '3_cpu19_.idle_std', '3_cpu21_.idle_std', '2_proc.s_median', '2_fault.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_ldavg.1_median', '3_proc.s_median', '3_fault.s_median', '3_pgfree.s_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_ldavg.1_median', '3_orq.s_median', '4_proc.s_median', '4_fault.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '5_tcpsck_median', '5_passive.s_median', '2_fault.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '2_ldavg.1_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_ldavg.1_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '4_fault.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_ldavg.1_25th', '5_i139_intr.s_25th', '5_tcpsck_25th', '5_passive.s_25th', '2_fault.s_75th', '2_runq.sz_75th', '2_ldavg.1_75th', '3_runq.sz_75th', '3_orq.s_75th', '4_fault.s_75th', '4_runq.sz_75th', '5_tcpsck_75th', '3_cpu2_.idle_range', '3_cpu3_.idle_range', '3_cpu12_.idle_range', '3_cpu19_.idle_range', '3_cpu21_.idle_range']],
32,[['2_fault.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_ldavg.1_mean', '3_cpu13_.sys_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_ldavg.1_mean', '3_orq.s_mean', '4_fault.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_ldavg.1_mean', '5_lo_rxpck.s_mean', '5_lo_txpck.s_mean', '5_lo_rxkB.s_mean', '5_lo_txkB.s_mean', '5_tcpsck_mean', '5_estres.s_mean', '5_idgm.s_mean', '5_odgm.s_mean', '3_cpu9_.idle_std', '3_cpu23_.idle_std', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_ldavg.1_median', '3_cpu13_.sys_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_ldavg.1_median', '3_orq.s_median', '4_fault.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_ldavg.1_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '2_ldavg.1_25th', '3_cpu13_.sys_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_ldavg.1_25th', '4_fault.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_ldavg.1_25th', '5_tcpsck_25th', '2_fault.s_75th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_plist.sz_75th', '2_ldavg.1_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_ldavg.1_75th', '4_fault.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '5_tcpsck_75th', '3_cpu9_.idle_range']],
16,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_ldavg.1_mean', '3_cpu17_.usr_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_ldavg.1_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '3_oseg.s_mean', '4_fault.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_ldavg.1_mean', '5_tcpsck_mean', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_ldavg.1_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_ldavg.1_median', '3_irec.s_median', '3_idel.s_median', '3_orq.s_median', '3_iseg.s_median', '4_fault.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_ldavg.1_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '2_ldavg.1_25th', '3_cpu15_.usr_25th', '3_pgfree.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_ldavg.1_25th', '3_eth1_txpck.s_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '3_oseg.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_ldavg.1_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_plist.sz_75th', '2_ldavg.1_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_ldavg.1_75th', '3_orq.s_75th', '4_fault.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_ldavg.1_75th', '5_tcpsck_75th']],
