período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.26229508196721313,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.2263909587680079,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.08090185676392574,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.08323386383731211,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.1234610123119015,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.11652701778385773,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.120836820083682,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.11861785216178522,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09849804995436062,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.1010185876690731,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.07913279132791327,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.08228927802098532,
256,PeriodicLoad,BothApps,DispFrames,RT,0.11738484398216939,
256,PeriodicLoad,BothApps,DispFrames,RF,0.16199851411589894,
128,PeriodicLoad,BothApps,DispFrames,RT,0.1937869822485207,
128,PeriodicLoad,BothApps,DispFrames,RF,0.16429363905325445,
64,PeriodicLoad,BothApps,DispFrames,RT,0.12058508740635034,
64,PeriodicLoad,BothApps,DispFrames,RF,0.11768640742062075,
32,PeriodicLoad,BothApps,DispFrames,RT,0.1625615763546798,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15229276895943564,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14227458087902128,
16,PeriodicLoad,BothApps,DispFrames,RF,0.14035266576045913,
8,PeriodicLoad,BothApps,DispFrames,RT,0.12295118977739647,
8,PeriodicLoad,BothApps,DispFrames,RF,0.12476257130386358,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.16595289079229122,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.15106174161313352,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.19252232142857142,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.18871837797619048,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13668478260869565,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1361141304347826,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1037410453701247,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10273060935703546,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10067783094098882,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09623316498316498,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08291448923210065,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08369725615506662,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.06512605042016807,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.07784488795518206,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.07190549563430919,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.09013867488443758,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.10877466251298026,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.1032796815507096,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.09366498251068792,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.08916742237768277,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.09582357533177205,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09489439673865903,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.08396256857050662,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.08421506937721845,
