período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.2220566318926975,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.21318926974664681,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.10941644562334217,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.09126326259946953,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.11491108071135431,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.12402245782033744,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.11882845188284519,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.11702092050209206,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09584266865820264,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09778026719774291,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.07533875338753386,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.07896949482315335,
256,PeriodicLoad,BothApps,DispFrames,RT,0.12035661218424963,
256,PeriodicLoad,BothApps,DispFrames,RF,0.17447994056463595,
128,PeriodicLoad,BothApps,DispFrames,RT,0.1752958579881657,
128,PeriodicLoad,BothApps,DispFrames,RF,0.15779092702169625,
64,PeriodicLoad,BothApps,DispFrames,RT,0.09168747770246165,
64,PeriodicLoad,BothApps,DispFrames,RF,0.11950588655012485,
32,PeriodicLoad,BothApps,DispFrames,RT,0.14395183360700603,
32,PeriodicLoad,BothApps,DispFrames,RF,0.14897372742200327,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14390575441776166,
16,PeriodicLoad,BothApps,DispFrames,RF,0.13557091073855912,
8,PeriodicLoad,BothApps,DispFrames,RT,0.11504944236239671,
8,PeriodicLoad,BothApps,DispFrames,RF,0.12253277343808794,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.16809421841541758,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14935760171306212,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.19308035714285712,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.18534691220238098,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1388586956521739,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1363768115942029,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09060758821968691,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1014294242504643,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1045986177565125,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09526072124756334,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08035149618879606,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08333777141652518,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.05357142857142856,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.07725840336134454,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.07755521314843349,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08277264167094674,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.10981308411214952,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.10076583592938733,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.1000129550459904,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.089728807703934,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.09810044236273745,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09568533697632058,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.08270409809616006,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.08265677100139832,
