experimento,período,carga,apps,feature,método,nmae,função
3,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.08270676691729323,raw
3,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.06710526315789472,raw
2,256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09774436090225563,média
2,256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09674185463659148,média
2,256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.015037593984962405,máximo
2,256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0798872180451128,máximo
2,256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08270676691729323,mínimo
2,256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09667919799498745,mínimo
1,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.2018348623853211,raw
1,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.08325688073394495,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1383399209486166,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.09647562582345191,raw
2,128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1541501976284585,média
2,128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11966403162055336,média
2,128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09486166007905139,máximo
2,128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10559947299077732,máximo
2,128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10276679841897234,mínimo
2,128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0888010540184453,mínimo
1,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1,raw
1,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.11899305555555555,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.12407407407407407,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.1523611111111111,raw
2,64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09814814814814815,média
2,64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.12277777777777779,média
2,64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.13518518518518519,máximo
2,64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13280864197530864,máximo
2,64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.15185185185185182,mínimo
2,64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.15009259259259258,mínimo
1,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.023076923076923075,raw
1,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.03693910256410256,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09233449477351917,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09082462253193961,raw
2,32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09843205574912892,média
2,32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08485772357723576,média
2,32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08362369337979093,máximo
2,32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.075725900116144,máximo
