experimento,período,carga,apps,feature,método,nmae,função
3,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.08270676691729323,raw
3,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.16572681704260647,raw
2,256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.24812030075187969,média
2,256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14241854636591475,média
2,256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.45864661654135336,máximo
2,256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.17875939849624053,máximo
2,256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08270676691729323,mínimo
2,256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11340852130325814,mínimo
1,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.2018348623853211,raw
1,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.15305810397553518,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.10276679841897234,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.14986824769433463,raw
2,128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.18972332015810278,média
2,128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.1472002635046113,média
2,128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.19762845849802374,máximo
2,128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.16742424242424245,máximo
2,128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1857707509881423,mínimo
2,128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.128129117259552,mínimo
1,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.058333333333333334,raw
1,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.13888888888888887,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.22777777777777775,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.16405864197530864,raw
2,64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.15185185185185182,média
2,64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.15604938271604935,média
2,64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09444444444444444,máximo
2,64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1599537037037037,máximo
2,64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11296296296296296,mínimo
2,64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.15257716049382714,mínimo
1,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.08653846153846154,raw
1,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.06639423076923075,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.11585365853658536,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.10736788617886175,raw
2,32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08885017421602787,média
2,32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10566202090592336,média
