experimento,período,Features,função
256,[['0_cpu16_.sys_mean', '5_i129_intr.s_mean', '5_orq6.s_mean', '5_omcpck6.s_mean', '5_omsg6.s_mean', '5_ogmbr6.s_mean', '0_cpu3_.sys_std', '0_cpu5_.sys_std', '0_cpu12_.sys_std', '5_cpu20_.sys_median', '4_totsck_25th', '0_cpu2_.sys_75th']],raw
2,256,média,[['0_cpu3_.sys', '0_cpu12_.sys', '0_cpu16_.sys', '1_inode.nr', '1_totsck', '1_tcp6sck', '4_tcpsck', '5_i129_intr.s', '5_orq6.s', '5_omcpck6.s', '5_omsg6.s', '5_ogmbr6.s']],média
2,256,máximo,[['0_kbswpfree', '1_kbbuffers', '1_kbinact', '1_ldavg.15', '2_kbswpused', '2_X..swpused', '2_kbswpcad', '2_X..swpcad', '2_tcp.tw', '3_kbswpused', '4_kbswpfree', '4_dev252.0_svctm']],máximo
2,256,mínimo,[['0_i129_intr.s', '1_i128_intr.s', '1_oseg.s', '1_tcp6sck', '2_cpu20_.usr', '2_i138_intr.s', '2_oseg.s', '3_cpu11_.sys', '3_cpu17_.sys', '3_cpu23_.sys', '4_kbcached', '4_totsck']],mínimo
1,256,[['0_cpu23_.sys', '2_cpu0_.sys', '2_cpu4_.sys', '2_cpu22_.soft', '2_fault.s', '3_campg.s', '4_proc.s', '4_fault.s', '5_cpu12_.sys', '5_cpu14_.sys', '5_cpu16_.sys', '5_i135_intr.s']],raw
128,[['3_cpu1_.usr_range', '3_cpu3_.usr_range', '3_cpu4_.usr_range', '3_cpu7_.usr_range', '3_cpu8_.usr_range', '3_cpu8_.idle_range', '3_cpu12_.usr_range', '3_cpu17_.usr_range', '3_cpu17_.idle_range', '3_cpu20_.usr_range', '3_cpu23_.usr_range', '4_cpu5_.usr_range']],raw
2,128,média,[['0_cpu11_.usr', '2_cpu0_.usr', '2_cpu6_.usr', '2_cpu8_.usr', '3_eth0_rxpck.s', '3_eth0_rxkB.s', '4_cpu1_.sys', '4_cpu3_.sys', '4_cpu5_.sys', '4_cpu7_.sys', '4_cpu9_.sys', '4_cpu11_.sys']],média
2,128,máximo,[['3_all_..idle', '3_cpu0_.idle', '3_cpu2_.idle', '3_cpu3_.idle', '3_cpu4_.idle', '3_cpu5_.idle', '3_cpu6_.idle', '3_cpu8_.idle', '3_cpu9_.idle', '3_cpu10_.idle', '3_cpu17_.idle', '3_cpu23_.idle']],máximo
2,128,mínimo,[['2_cpu2_.usr', '2_cpu6_.usr', '2_cpu8_.usr', '2_cpu10_.usr', '2_cpu16_.usr', '2_cpu18_.usr', '2_cpu20_.usr', '3_cpu1_.usr', '3_cpu5_.sys', '3_cpu7_.usr', '3_cpu8_.usr', '3_cpu20_.sys']],mínimo
1,128,[['1_cpu2_.iowait', '2_i141_intr.s', '2_fault.s', '2_file.nr', '3_i132_intr.s', '3_file.nr', '4_i118_intr.s', '4_i121_intr.s', '4_file.nr', '4_eth0_rxkB.s', '4_onbsol6.s', '5_i118_intr.s']],raw
64,[['5_cpu1_.soft_mean', '5_cpu1_.soft_std', '5_cpu6_.sys_std', '5_cpu10_.sys_std', '5_cpu14_.sys_std', '5_cpu23_.sys_std', '2_cpu14_.iowait_median', '0_pgpgout.s_75th', '0_dev252.0_wr_sec.s_75th', '5_cpu1_.soft_range', '5_cpu10_.sys_range', '5_cpu14_.sys_range']],raw
