experimento,período,carga,apps,feature,método,nmae,função
3,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.16873781676413255,raw
3,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.16873781676413255,raw
2,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.08813700918964078,média
2,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.14868479068040472,média
2,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.16873781676413255,máximo
2,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.17424347906804047,máximo
2,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.11359997215260371,mínimo
2,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.14712084029518238,mínimo
1,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.1726637749901184,raw
1,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.1573402296698496,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1442918749573906,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.1442918749573906,raw
2,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1718552183267299,média
2,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.15340369794317368,média
2,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.24541354527855863,máximo
2,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.1686286784815666,máximo
2,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.13033529455598206,mínimo
2,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.13104116717850825,mínimo
1,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.10304958451510177,raw
1,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.12746352067472755,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.19606704798493022,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.19606704798493022,raw
2,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.15644690843502299,média
2,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.16070827914173852,média
2,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.13659314713339565,máximo
2,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.1508124858863649,máximo
2,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.14919771666395112,mínimo
2,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.14380421398605261,mínimo
1,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.08368328804104876,raw
1,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10028830563421308,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.1094055649738524,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.1094055649738524,raw
2,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10269028503359186,média
2,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.11841470540467787,média
2,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.1366298470559653,máximo
2,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.1194592379743642,máximo
2,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.12959251870644448,mínimo
2,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.12717122489591912,mínimo
1,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10617688201726878,raw
1,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09301927886314991,raw
3,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09625925853816453,raw
3,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09625925853816453,raw
2,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.07690158900716822,média
2,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.08867414275528335,média
2,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.12471557761709524,máximo
2,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09262926662206061,máximo
2,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.08365347111389256,mínimo
2,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.08759113110030468,mínimo
1,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10106847882624548,raw
1,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09925383241842932,raw
3,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10192060419631001,raw
3,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10192060419631001,raw
2,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09446225141968284,média
2,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09780852502029924,média
2,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10172248745558683,máximo
2,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09391983949632367,máximo
2,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09729567958035812,mínimo
2,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09642999483804697,mínimo
1,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.0861043968008829,raw
1,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.08361404985071837,raw
