# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;pgprom/s;pgdem/s
ST-F-01;1;2024-10-11 10:30:30 UTC;0.00;44.00;14483.00;0.00;6544.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:31 UTC;0.00;92.00;10154.00;0.00;3519.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:32 UTC;0.00;0.00;8958.00;0.00;9887.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:33 UTC;0.00;0.00;2244.00;0.00;10952.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:34 UTC;0.00;0.00;20659.00;0.00;4521.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:35 UTC;0.00;104.00;947.00;0.00;1488.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:36 UTC;0.00;158.42;3123.76;0.00;2790.10;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:37 UTC;0.00;0.00;1006.00;0.00;2374.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:38 UTC;0.00;56.00;443.00;0.00;376.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:39 UTC;0.00;344.00;749.00;0.00;609.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:40 UTC;0.00;0.00;1729.00;0.00;2655.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:41 UTC;0.00;4.00;611.00;0.00;58511.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:42 UTC;0.00;0.00;587.00;0.00;460.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:43 UTC;0.00;0.00;450.00;0.00;418.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:44 UTC;0.00;136.00;735.00;0.00;542.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:45 UTC;0.00;180.00;906.00;0.00;1778.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:46 UTC;0.00;0.00;386.00;0.00;448.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:47 UTC;0.00;0.00;367.00;0.00;351.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:48 UTC;0.00;0.00;348.00;0.00;655.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:49 UTC;0.00;1008.00;414.00;0.00;387.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:50 UTC;0.00;192.00;1811.00;0.00;1388.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:51 UTC;4.00;0.00;444.00;0.00;490.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:52 UTC;4.00;0.00;365.00;0.00;389.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:53 UTC;220.00;0.00;346.00;0.00;371.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:54 UTC;0.00;0.00;526.00;0.00;541.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:55 UTC;128.00;320.00;878.00;0.00;1975.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:56 UTC;0.00;0.00;415.00;0.00;706.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:57 UTC;0.00;0.00;559.00;0.00;539.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:58 UTC;0.00;0.00;541.00;0.00;1041.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:30:59 UTC;0.00;0.00;428.00;0.00;464.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:00 UTC;0.00;784.00;8643.00;0.00;1598.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:01 UTC;0.00;0.00;5803.00;0.00;13639.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:02 UTC;0.00;0.00;359.00;0.00;382.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:03 UTC;0.00;0.00;341.00;0.00;1638.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:04 UTC;4.00;0.00;364.00;0.00;378.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:05 UTC;0.00;268.00;501.00;0.00;1455.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:06 UTC;0.00;0.00;328.00;0.00;380.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:07 UTC;4.00;0.00;481.00;0.00;534.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:08 UTC;4.00;0.00;744.00;0.00;901.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:09 UTC;4.00;0.00;697.00;0.00;731.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:10 UTC;8.00;76.00;1828.00;0.00;2831.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:11 UTC;8.00;212.00;1681.00;0.00;5368.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:12 UTC;8.00;0.00;912.00;0.00;2656.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:13 UTC;0.00;0.00;4477.00;0.00;5667.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:14 UTC;0.00;0.00;390.00;0.00;401.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:15 UTC;0.00;180.00;386.00;0.00;1454.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:16 UTC;4.00;64.00;517.00;0.00;524.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:17 UTC;0.00;108.00;3255.00;0.00;7552.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:18 UTC;4.00;0.00;356.00;0.00;357.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:19 UTC;0.00;4.00;345.00;0.00;412.00;0.00;0.00;0.00;0.00;0.00
