# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
ST-F-01;1;2024-09-26 10:42:13 UTC;-1;0.50;0.67;1.50;0.17;0.00;0.00;0.08;0.00;0.00;97.08
ST-F-01;1;2024-09-26 10:42:13 UTC;0;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:13 UTC;1;0.00;0.99;1.98;0.00;0.00;0.00;0.00;0.00;0.00;97.03
ST-F-01;1;2024-09-26 10:42:13 UTC;2;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00
ST-F-01;1;2024-09-26 10:42:13 UTC;3;0.00;0.99;2.97;0.00;0.00;0.00;0.00;0.00;0.00;96.04
ST-F-01;1;2024-09-26 10:42:13 UTC;4;0.00;3.06;7.14;2.04;0.00;0.00;0.00;0.00;0.00;87.76
ST-F-01;1;2024-09-26 10:42:13 UTC;5;3.92;0.00;2.94;0.00;0.00;0.00;0.98;0.00;0.00;92.16
ST-F-01;1;2024-09-26 10:42:13 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:13 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:13 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:13 UTC;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:13 UTC;10;0.99;0.00;1.98;0.00;0.00;0.00;0.00;0.00;0.00;97.03
ST-F-01;1;2024-09-26 10:42:13 UTC;11;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:14 UTC;-1;1.75;0.17;0.75;0.25;0.00;0.00;0.00;0.00;0.00;97.08
ST-F-01;1;2024-09-26 10:42:14 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:14 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:14 UTC;2;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:14 UTC;3;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:14 UTC;4;17.82;1.98;3.96;2.97;0.00;0.00;0.00;0.00;0.00;73.27
ST-F-01;1;2024-09-26 10:42:14 UTC;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:14 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:14 UTC;7;0.00;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:14 UTC;8;0.00;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:14 UTC;9;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:14 UTC;10;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:14 UTC;11;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:15 UTC;-1;0.67;2.00;1.75;0.25;0.00;0.17;0.08;0.00;0.00;95.09
ST-F-01;1;2024-09-26 10:42:15 UTC;0;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:15 UTC;1;0.00;1.96;0.00;0.00;0.00;0.00;0.98;0.00;0.00;97.06
ST-F-01;1;2024-09-26 10:42:15 UTC;2;0.00;0.99;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:15 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:15 UTC;4;2.00;17.00;5.00;3.00;0.00;0.00;0.00;0.00;0.00;73.00
ST-F-01;1;2024-09-26 10:42:15 UTC;5;0.99;3.96;10.89;0.00;0.00;0.99;0.00;0.00;0.00;83.17
ST-F-01;1;2024-09-26 10:42:15 UTC;6;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:15 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:15 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:15 UTC;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:15 UTC;10;4.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;94.00
ST-F-01;1;2024-09-26 10:42:15 UTC;11;0.99;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:16 UTC;-1;0.33;0.00;0.00;0.25;0.00;0.08;0.00;0.00;0.00;99.33
ST-F-01;1;2024-09-26 10:42:16 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:16 UTC;1;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:16 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:16 UTC;3;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
