período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.1076050847280006,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.10289683828846294,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.110085462993694,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.102532947505255,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10686145764937623,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10516832184285402,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.11012099411379989,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.1006288151297144,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.11756025577963601,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.11043067169481335,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.1260053619302949,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.13330819928507592,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1270903010033445,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.10614827201783722,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.10610079575596817,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.08248231653404067,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2944343421223536,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24440289864484566,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2828495157525502,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24426748169832652,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2976411274522609,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2620386092317337,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.29884516904425984,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2802790406019752,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26811937470393177,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2568316753513343,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2317429406037001,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.21098831548198632,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32014987510407994,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.29154870940882593,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3375565610859729,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2691327300150829,
2,PeriodicLoad,BothApps,DispFrames,RT,0.13600483016167625,
2,PeriodicLoad,BothApps,DispFrames,RF,0.12591040720946353,
4,PeriodicLoad,BothApps,DispFrames,RT,0.14731231571784986,
4,PeriodicLoad,BothApps,DispFrames,RF,0.14073164738791866,
8,PeriodicLoad,BothApps,DispFrames,RT,0.14837600651406857,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13690325401851686,
16,PeriodicLoad,BothApps,DispFrames,RT,0.15258956747726007,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1512274921106367,
32,PeriodicLoad,BothApps,DispFrames,RT,0.16348314606741574,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15340043695380773,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1859596713965646,
64,PeriodicLoad,BothApps,DispFrames,RF,0.1686084142394822,
128,PeriodicLoad,BothApps,DispFrames,RT,0.1714495952906549,
128,PeriodicLoad,BothApps,DispFrames,RF,0.1316961000735835,
256,PeriodicLoad,BothApps,DispFrames,RT,0.15558510638297873,
256,PeriodicLoad,BothApps,DispFrames,RF,0.13026374113475178,
2,PeriodicLoad,BothApps,noAudioPlayed,RT,0.40271569228971277,
2,PeriodicLoad,BothApps,noAudioPlayed,RF,0.311249342624244,
4,PeriodicLoad,BothApps,noAudioPlayed,RT,0.40341905106845344,
4,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3238440178679223,
8,PeriodicLoad,BothApps,noAudioPlayed,RT,0.45709467184998853,
8,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3579014692430826,
16,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4015439499385929,
16,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3641957619353958,
32,PeriodicLoad,BothApps,noAudioPlayed,RT,0.49761875686897056,
32,PeriodicLoad,BothApps,noAudioPlayed,RF,0.36879146822973913,
64,PeriodicLoad,BothApps,noAudioPlayed,RT,0.6065573770491803,
64,PeriodicLoad,BothApps,noAudioPlayed,RF,0.5391141788898476,
128,PeriodicLoad,BothApps,noAudioPlayed,RT,0.32685512367491165,
128,PeriodicLoad,BothApps,noAudioPlayed,RF,0.35859835100117776,
256,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4020100502512563,
256,PeriodicLoad,BothApps,noAudioPlayed,RF,0.4741206030150754,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11034988183562389,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10170315900999936,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11889727142809664,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10708329178991213,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11642923711889229,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10880930191275018,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10737447349067326,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10913953332887613,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11167166621216253,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11279997272975184,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12558395163506456,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11898415315562882,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1174863387978142,
