período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.10917700696837034,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.09974366380964202,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.10588849313127228,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.09835553574286149,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10451593962629088,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09857855033527242,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10698413028449053,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.10122173458038472,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.11358723543225044,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.10289838732251995,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10564558312488023,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.09691618890770576,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.10449055917720697,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.10767862244500429,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.11347999792455767,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10363405627907779,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.29238818259026106,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.22936070081303375,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2890388000753526,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23307459466891856,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.28277336157407706,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23258738601362378,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3006308095551286,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24143157239082333,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2825535307443261,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24137107411500486,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.31299539530672993,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24711264998903645,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.348099928826548,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.25622537501476006,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2777922726321045,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.27008637859485807,
2,PeriodicLoad,BothApps,DispFrames,RT,0.15911999646939406,
2,PeriodicLoad,BothApps,DispFrames,RF,0.14597146727084132,
4,PeriodicLoad,BothApps,DispFrames,RT,0.16046243265983795,
4,PeriodicLoad,BothApps,DispFrames,RF,0.14911208575088844,
