período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.111065042757191,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.10413155394316317,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.11689396770041932,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.10684826531600726,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.112241083943311,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10933144716122445,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.11802044220866753,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.11054975665267013,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.11653226015300072,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.11342619209168303,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.11843915302716479,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.11602769082757557,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.11749371518833787,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.11688321520812578,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.1095509105960265,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.11311577331677704,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.29864250469355375,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24602011953886307,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.298625921833646,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24491634439961973,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32529199693008193,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2630757439929142,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.30881276912616956,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.27053620185407024,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3515157811353587,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.26715837299448747,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32640846318135985,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.26623516425225036,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3019311106875038,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.27608227171247546,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2921769388189876,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2704001265324304,
2,PeriodicLoad,BothApps,DispFrames,RT,0.15176473902143603,
2,PeriodicLoad,BothApps,DispFrames,RF,0.14431532445095446,
4,PeriodicLoad,BothApps,DispFrames,RT,0.15494728533573884,
4,PeriodicLoad,BothApps,DispFrames,RF,0.14530646858732216,
8,PeriodicLoad,BothApps,DispFrames,RT,0.1533328081567427,
8,PeriodicLoad,BothApps,DispFrames,RF,0.145060620383604,
16,PeriodicLoad,BothApps,DispFrames,RT,0.15586384100885226,
16,PeriodicLoad,BothApps,DispFrames,RF,0.15096162334454655,
32,PeriodicLoad,BothApps,DispFrames,RT,0.15986300830610556,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15490155830863617,
64,PeriodicLoad,BothApps,DispFrames,RT,0.17902345727625582,
64,PeriodicLoad,BothApps,DispFrames,RF,0.16151276930865724,
128,PeriodicLoad,BothApps,DispFrames,RT,0.1560475161987041,
128,PeriodicLoad,BothApps,DispFrames,RF,0.14987293204043675,
256,PeriodicLoad,BothApps,DispFrames,RT,0.17712314404572665,
256,PeriodicLoad,BothApps,DispFrames,RF,0.15513593420592778,
2,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4379294847632579,
2,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3418054186358936,
4,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4315420145351896,
4,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3443004289924905,
8,PeriodicLoad,BothApps,noAudioPlayed,RT,0.45506839272558347,
8,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3531151141451423,
16,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4585809881016786,
16,PeriodicLoad,BothApps,noAudioPlayed,RF,0.35664068787813874,
32,PeriodicLoad,BothApps,noAudioPlayed,RT,0.48350607538227725,
32,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3681229097491819,
64,PeriodicLoad,BothApps,noAudioPlayed,RT,0.470950815412542,
64,PeriodicLoad,BothApps,noAudioPlayed,RF,0.38379234497417886,
128,PeriodicLoad,BothApps,noAudioPlayed,RT,0.46098515198105927,
128,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3788286402429195,
256,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4539200509266627,
256,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3725362237590243,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11117160144021973,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10160165331067696,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11179400276922441,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10416348068087102,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11155650952296593,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10352395744499693,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11312357050132905,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10685929268577472,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1086591834217343,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10452564998697972,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11328360800787227,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11137074033953247,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1159549020660935,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10594668065820839,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10297691498359911,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10369717849799544,
2,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.2965050092544071,
2,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.23920413819570469,
4,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.3080493788698937,
