período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.08302532617828846,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.07809008070904364,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.08478425043708554,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08321798413043252,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09570150307257931,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09038084585893814,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10290696466776061,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09443312111833496,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10109029595225041,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09605293555806119,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10792350436902541,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10262215164321446,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1224918447679454,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.11537652364974078,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.11342259943867149,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.11017887806927892,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.23405844670303552,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.20131675392387982,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.25315789303697095,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2078742236476208,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26048103062252737,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2169456153936712,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26815018888132575,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2249142426090033,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3251134770924147,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23563448589197927,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.28438980374464246,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23861842458616656,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32364711967414495,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.25563576216029815,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.315705185123001,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.25579477344078766,
2,PeriodicLoad,BothApps,DispFrames,RT,0.13335436299830447,
2,PeriodicLoad,BothApps,DispFrames,RF,0.12593694668041103,
4,PeriodicLoad,BothApps,DispFrames,RT,0.13664589286116047,
4,PeriodicLoad,BothApps,DispFrames,RF,0.12849840821652755,
8,PeriodicLoad,BothApps,DispFrames,RT,0.13944252202049254,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13222823603870812,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14497858859146132,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1352582499104341,
32,PeriodicLoad,BothApps,DispFrames,RT,0.1477405707084346,
32,PeriodicLoad,BothApps,DispFrames,RF,0.14218070183334836,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1574189403204626,
64,PeriodicLoad,BothApps,DispFrames,RF,0.14722765469393734,
128,PeriodicLoad,BothApps,DispFrames,RT,0.15729302884210644,
128,PeriodicLoad,BothApps,DispFrames,RF,0.14319590444707606,
256,PeriodicLoad,BothApps,DispFrames,RT,0.17272973308224046,
256,PeriodicLoad,BothApps,DispFrames,RF,0.14924944650556127,
2,PeriodicLoad,BothApps,noAudioPlayed,RT,0.38950364947702254,
2,PeriodicLoad,BothApps,noAudioPlayed,RF,0.2993023058633367,
4,PeriodicLoad,BothApps,noAudioPlayed,RT,0.3786215955102528,
4,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3045510494048287,
8,PeriodicLoad,BothApps,noAudioPlayed,RT,0.40593878253881693,
8,PeriodicLoad,BothApps,noAudioPlayed,RF,0.31450279348314814,
16,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4054363396848478,
16,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3295340623057893,
32,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4117570366936594,
32,PeriodicLoad,BothApps,noAudioPlayed,RF,0.33733959501286864,
64,PeriodicLoad,BothApps,noAudioPlayed,RT,0.39265217391304347,
64,PeriodicLoad,BothApps,noAudioPlayed,RF,0.34410217391304343,
128,PeriodicLoad,BothApps,noAudioPlayed,RT,0.41625892370301626,
128,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3410609201088598,
256,PeriodicLoad,BothApps,noAudioPlayed,RT,0.39710395816427735,
256,PeriodicLoad,BothApps,noAudioPlayed,RF,0.3604096715054248,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09789518118161201,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09409818211414414,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10316840439204406,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09479140407934993,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10206471189683036,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09645309734270038,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10380398410324627,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09966988485043775,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10836270187862287,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10284909319021592,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10931095303947466,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10730433804511942,
