período,carga,apps,feature,método,nmae
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.10494757330319583,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.09902166481795414,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.1048587010411502,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.09940264694540847,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.12653735039207592,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10487687439812904,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.12049689440993787,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.1114520358868185,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10133111480865224,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.11042151968940656,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.12086472322305929,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10375313898897259,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.12780421481985046,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.12335146159075462,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.11734028683181226,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10272707518470231,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2854715489128659,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23943385375481155,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2893484978650835,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2372369821385067,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.299185992935033,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2543614225498728,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3081645181092695,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.27321934042698315,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32565191024863555,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.26565426858028435,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32681267276206677,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.26701396271883193,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3256003256003256,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.26103988603988604,
