período,carga,apps,feature,método,switch,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.13201055707418227,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12870404554018308,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12687421907538526,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12331886598176686,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.13138595400870107,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12930874939575995,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.13384705586732557,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.1363177169128254,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12245885769603099,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.11619339571904917,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.13819334389857368,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12597200211304807,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.17768595041322313,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.1536386593204775,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.11369509043927649,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.09276485788113695,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14459004915148388,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1444120479842956,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14754404609838304,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1475858292459187,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14619285749416033,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14612612781343906,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.15091786630956372,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.15100665514925277,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.13601740026562262,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.13612777964004152,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1263210382702882,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.12628537196836429,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.12978847525009177,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.12909329559449492,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1077922077922078,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.107142857142857,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1454142151495334,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14515694677512445,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.13801125763904448,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13792884650615667,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14238718599519504,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1423101774955467,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.13743020332713377,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13733281936780936,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1334247823420278,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13361844131187756,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.13709323246490152,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13719518365380934,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1379026820090053,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13693827536452569,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.09976571651698551,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.10058570870753587,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14272293028269228,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14279333035403777,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1406491480068422,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14082499180716926,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1401825890710335,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14045339242102858,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14199455935565372,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.1418919772985653,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.13848196942245286,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.13833352950368097,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1283492877753859,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.12877846358478748,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14824494391057857,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14998465556790436,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.08358604343128029,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08632883051123552,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13093284557094328,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12838979908834885,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13435889978394547,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.13011480492770483,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13339941353818197,
