período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.08789778155742438,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.08506068432601552,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.08995855116535793,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08747474537085252,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09229049354090758,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09109390526664458,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09321612207662962,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09288715652125835,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.1088628762541806,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.1117767558528428,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10623409669211197,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.09151558524173029,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.09934640522875816,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.09267973856209151,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.1111111111111111,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10303617571059431,
2,PeriodicLoad,BothApps,DispFrames,RT,0.14101581864888008,
2,PeriodicLoad,BothApps,DispFrames,RF,0.13056262862980156,
4,PeriodicLoad,BothApps,DispFrames,RT,0.13892991025786663,
4,PeriodicLoad,BothApps,DispFrames,RF,0.13336267938960206,
8,PeriodicLoad,BothApps,DispFrames,RT,0.14173654314308898,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13338142037087128,
16,PeriodicLoad,BothApps,DispFrames,RT,0.1674245939675174,
16,PeriodicLoad,BothApps,DispFrames,RF,0.15202552204176334,
32,PeriodicLoad,BothApps,DispFrames,RT,0.12970788168289546,
32,PeriodicLoad,BothApps,DispFrames,RF,0.14520025721109683,
64,PeriodicLoad,BothApps,DispFrames,RT,0.16295737457563184,
64,PeriodicLoad,BothApps,DispFrames,RF,0.15679932101093924,
128,PeriodicLoad,BothApps,DispFrames,RT,0.1669150521609538,
128,PeriodicLoad,BothApps,DispFrames,RF,0.13286761053154494,
256,PeriodicLoad,BothApps,DispFrames,RT,0.10511756569847855,
256,PeriodicLoad,BothApps,DispFrames,RF,0.13826648224988472,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10151740062675242,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09480695750178679,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10815514669318747,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0995686225758329,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1023434396928373,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.098512732247672,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11920529801324503,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10637612326354048,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13157185225128068,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10416666666666664,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10985155195681512,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10100539811066127,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08799565453557849,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10930653630273401,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10652173913043479,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09054347826086956,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.10432685303591953,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.09513573012609872,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.11260266857124306,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.10007534439286217,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10770169970761173,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09940852959761803,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.1016207031760554,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09883239663660523,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11451071520784922,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09361390825372236,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.11036960985626283,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.0876326146475017,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.09448416751787538,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08245658835546475,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.1488933601609658,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.09636988598256203,
