período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.07857142857142857,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.08807539682539683,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.14664202094886014,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.1285325528856028,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.0931315483119907,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.09139745828482732,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10179020565172363,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09256916703654386,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.12190376412482228,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.11866035570854848,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.11644783600793027,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.1099034900684547,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.10896246744242695,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.10122719408373465,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.10665456349020673,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.0996714517884939,
256,PeriodicLoad,BothApps,DispFrames,RT,0.25298013245033113,
256,PeriodicLoad,BothApps,DispFrames,RF,0.14485651214128037,
128,PeriodicLoad,BothApps,DispFrames,RT,0.10133333333333333,
128,PeriodicLoad,BothApps,DispFrames,RF,0.11696666666666665,
64,PeriodicLoad,BothApps,DispFrames,RT,0.16329284750337383,
64,PeriodicLoad,BothApps,DispFrames,RF,0.15471491228070178,
32,PeriodicLoad,BothApps,DispFrames,RT,0.15046296296296297,
32,PeriodicLoad,BothApps,DispFrames,RF,0.1446800595238095,
16,PeriodicLoad,BothApps,DispFrames,RT,0.17069925999833707,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1469242814777861,
8,PeriodicLoad,BothApps,DispFrames,RT,0.15611043442955744,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13974895114359182,
