período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.13496188620276936,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10713841227872999,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.12243852148381344,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.1100438592238458,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10581600789446026,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.09808923375066579,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09457456733400126,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09418374839791466,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10942868351182188,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09540234223590856,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09666222190837755,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09004174190233015,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.09255755561513986,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.0868362859842634,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.08561412829334795,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.0824103376129982,
256,PeriodicLoad,BothApps,DispFrames,RT,0.140022441581667,
256,PeriodicLoad,BothApps,DispFrames,RF,0.15913955640860664,
128,PeriodicLoad,BothApps,DispFrames,RT,0.15105305806201677,
128,PeriodicLoad,BothApps,DispFrames,RF,0.14451798337834101,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1531603929209119,
64,PeriodicLoad,BothApps,DispFrames,RF,0.15549872796471695,
32,PeriodicLoad,BothApps,DispFrames,RT,0.16143839944480967,
32,PeriodicLoad,BothApps,DispFrames,RF,0.1522603119814658,
16,PeriodicLoad,BothApps,DispFrames,RT,0.1580344816283013,
16,PeriodicLoad,BothApps,DispFrames,RF,0.1446361325580022,
8,PeriodicLoad,BothApps,DispFrames,RT,0.14359769173391648,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13521107067134067,
4,PeriodicLoad,BothApps,DispFrames,RT,0.1397317036528134,
4,PeriodicLoad,BothApps,DispFrames,RF,0.13044661145971415,
2,PeriodicLoad,BothApps,DispFrames,RT,0.13402716360068592,
2,PeriodicLoad,BothApps,DispFrames,RF,0.12575691166935424,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10013857190719279,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08986185366522505,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11152253323257377,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10987624022760996,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12074488749269739,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10673921857794248,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11013153046447383,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1091668737088655,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10685754906673316,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10188742111553935,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10419588777126633,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09885895228151076,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10649909167446209,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09643262605676023,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09804339866209268,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09297077433837182,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.10751887525885168,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.10634450401673613,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.0917523429024686,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08777337291548344,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.1074372641269525,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09855238686259916,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11539287818952741,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09987817181527504,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10937742064845153,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.0995099310458286,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10537998127378094,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09878656668370478,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.10533395509378313,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.09889671270923661,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.10015795151456947,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.09419295168740878,
