período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.07334525939177101,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.08835718545020871,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.0657370517928287,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.0949867197875166,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.11142322097378277,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10311719725343324,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10736342042755344,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.10029493269992082,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.09861695730607335,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.10760473040689517,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.0957131628272568,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.09488078682709553,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.10210038517091959,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.09359402583854919,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.10448974675539763,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.10084603069449045,
256,PeriodicLoad,BothApps,DispFrames,RT,0.41451990632318503,
256,PeriodicLoad,BothApps,DispFrames,RF,0.26908665105386415,
128,PeriodicLoad,BothApps,DispFrames,RT,0.18803418803418803,
128,PeriodicLoad,BothApps,DispFrames,RF,0.16379095441595443,
64,PeriodicLoad,BothApps,DispFrames,RT,0.17041296393099845,
64,PeriodicLoad,BothApps,DispFrames,RF,0.14889353545913922,
32,PeriodicLoad,BothApps,DispFrames,RT,0.1844335987670177,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15811927391043756,
16,PeriodicLoad,BothApps,DispFrames,RT,0.14292935675470744,
16,PeriodicLoad,BothApps,DispFrames,RF,0.13004654787480519,
8,PeriodicLoad,BothApps,DispFrames,RT,0.13892639022822242,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13510982535090538,
4,PeriodicLoad,BothApps,DispFrames,RT,0.13340609251115462,
4,PeriodicLoad,BothApps,DispFrames,RF,0.13055002728469167,
2,PeriodicLoad,BothApps,DispFrames,RT,0.1350214397089397,
2,PeriodicLoad,BothApps,DispFrames,RF,0.13035952117983368,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.15304606240713226,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.17418276374442793,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.15220700152207003,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12790461694571284,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1332560834298957,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12046478691901633,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13768671007276906,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12305949189327206,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11384439359267735,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1147176137808289,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12049501676822068,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11390502731724216,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11417154274297132,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10653156367442079,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11055418617541957,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10208601148706818,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.07384615384615384,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.09047435897435895,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.10159651669085631,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.088388969521045,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.11365235749472202,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09929040581749937,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.12188117034643692,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.10550768862562078,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.11393343839807174,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10091777139148973,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10126754804415973,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09468864052822074,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.09025262482233734,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.091443155594272,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.09213547977612371,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.0880410824534072,
