período,carga,apps,feature,método,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.1073345259391771,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.09685450208706023,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.16932270916334663,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.09011454183266933,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.0800561797752809,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10155274656679152,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09287410926365797,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09783847980997624,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.08659049909801562,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09292343154940869,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10689884515387871,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.0926884938629905,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.09439696677900819,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08599968905472637,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.09125538257701227,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.08602499824344806,
256,PeriodicLoad,BothApps,DispFrames,RT,0.1288056206088993,
256,PeriodicLoad,BothApps,DispFrames,RF,0.2405347384855582,
128,PeriodicLoad,BothApps,DispFrames,RT,0.16773504273504275,
128,PeriodicLoad,BothApps,DispFrames,RF,0.16516203703703705,
64,PeriodicLoad,BothApps,DispFrames,RT,0.17354939884997386,
64,PeriodicLoad,BothApps,DispFrames,RF,0.14404948597316605,
32,PeriodicLoad,BothApps,DispFrames,RT,0.1245825841253532,
32,PeriodicLoad,BothApps,DispFrames,RF,0.13553172360647314,
16,PeriodicLoad,BothApps,DispFrames,RT,0.11575887779603185,
16,PeriodicLoad,BothApps,DispFrames,RF,0.12375310670205146,
8,PeriodicLoad,BothApps,DispFrames,RT,0.14104789456766312,
8,PeriodicLoad,BothApps,DispFrames,RF,0.13355405550198218,
4,PeriodicLoad,BothApps,DispFrames,RT,0.13594196385580842,
4,PeriodicLoad,BothApps,DispFrames,RF,0.1308135118073166,
2,PeriodicLoad,BothApps,DispFrames,RT,0.13622336278586278,
2,PeriodicLoad,BothApps,DispFrames,RF,0.12729610620235618,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09806835066864783,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13580980683506688,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14307458143074583,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1309677828513445,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10621861722672846,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1329567400540749,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13347376484105708,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12466966679433168,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12976735316552251,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11465961098398172,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10297104529781304,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10418772534756662,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10950953808096665,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1014703550417836,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1002346947199585,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09523121557712493,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.09076923076923077,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.09869230769230768,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.11973875181422351,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08814102564102563,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.12104152005629838,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09693877551020406,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11703464369054031,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.0991787829833064,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.11272828404561046,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10095176292450789,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10285766207805189,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09559235533748275,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.09843656870386502,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.09180860574939251,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.09840170792222032,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.09299021022060663,
