período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.12297297297297298,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.11290540540540539,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.08857336037863421,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.09834910975884605,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10782380013149243,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.12397545474468548,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.12316328215288097,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.122756039843707,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.1508460236886633,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.15250564015792442,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.11118022725387743,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.11058133587680741,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.1160903390861241,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.11607338827493167,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.12899447883553622,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.12890089091517484,
256,PeriodicLoad,BothApps,DispFrames,RT,0.22454672245467222,
256,PeriodicLoad,BothApps,DispFrames,RF,0.24150395165039515,
128,PeriodicLoad,BothApps,DispFrames,RT,0.22354694485842028,
128,PeriodicLoad,BothApps,DispFrames,RF,0.20550794833581723,
64,PeriodicLoad,BothApps,DispFrames,RT,0.1392451447416636,
64,PeriodicLoad,BothApps,DispFrames,RF,0.14067729326981798,
32,PeriodicLoad,BothApps,DispFrames,RT,0.18349619978284473,
32,PeriodicLoad,BothApps,DispFrames,RF,0.1657120883098082,
16,PeriodicLoad,BothApps,DispFrames,RT,0.15428779732069625,
16,PeriodicLoad,BothApps,DispFrames,RF,0.14664023816033295,
8,PeriodicLoad,BothApps,DispFrames,RT,0.14600887922442693,
8,PeriodicLoad,BothApps,DispFrames,RF,0.14560229228957142,
4,PeriodicLoad,BothApps,DispFrames,RT,0.14267945180695643,
4,PeriodicLoad,BothApps,DispFrames,RF,0.14144842974957406,
2,PeriodicLoad,BothApps,DispFrames,RT,0.13665393843138582,
2,PeriodicLoad,BothApps,DispFrames,RF,0.13400888723684656,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14426229508196722,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14448998178506375,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.15241844769403826,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.15550712410948633,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.16012002182214946,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1658256046553919,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1440515350877193,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14829815423976606,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12512512512512514,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1300072294516739,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12770353584163696,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12642633385543373,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1331637403564778,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13061901436552276,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12278963792164051,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12132851497790324,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.09940357852882704,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.08745029821073558,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.08673469387755102,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08522959183673469,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.13011542497376705,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.11915005246589717,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11748108246761575,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.10757556325082299,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10442523880694003,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10012617237420669,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10640555662743587,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.10007529959054172,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.10299823060565233,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.09796790199611492,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.10389021943167842,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.10027233423954086,
