switch,regression_tree_WritesAvg_nmae,time_to_train_regression_tree_s,random_forest_WritesAvg_nmae,time_to_train_random_forest_s,
SWC1,0.0712219014731426,0.025285959243774414,0.06404208575016127,0.38247227668762207,
SWC2,0.06845764166011188,0.0023005008697509766,0.06856581443551332,0.17245864868164062,
SWC3,0.06845764166011188,0.002099275588989258,0.06856581443551325,0.17585396766662598,
SWC4,0.06845095060749336,0.002582550048828125,0.06854994630173834,0.21097707748413086,
SWA1,0.071127368985081,0.023357391357421875,0.06254495751636253,0.3581693172454834,
SWA2,0.08663115454472295,0.02477431297302246,0.07762011468669378,0.41312742233276367,
SWA3,0.06845764166011188,0.0023877620697021484,0.06856581443551332,0.17704319953918457,
SWA4,0.06849490035839594,0.0023620128631591797,0.06860352822481695,0.1918337345123291,
SWA5,0.06758717538830784,0.023711204528808594,0.05960200168346122,0.36698460578918457,
SWA6,0.06845764166011188,0.002354860305786133,0.06856581443551332,0.16556000709533691,
SWB1,0.073056943302245,0.026247501373291016,0.06523524098774486,0.39490675926208496,
SWB2,0.08773531297571364,0.024943828582763672,0.07801555977581258,0.398449182510376,
SWB3,0.07427386746948918,0.023914098739624023,0.06592546366365473,0.36199378967285156,
SWB4,0.08629604290106271,0.027048110961914062,0.07689133056637688,0.3874237537384033,
