switch,regression_tree_WritesAvg_nmae,time_to_train_regression_tree_s,random_forest_WritesAvg_nmae,time_to_train_random_forest_s,
SWC1,0.0741386769827572,0.02718639373779297,0.06533702487875831,0.41750645637512207,
SWC2,0.06322437335184804,0.002468109130859375,0.06325082688264051,0.1769716739654541,
SWC3,0.06322437335184804,0.002477407455444336,0.06325082688264051,0.174454927444458,
SWC4,0.06323339184891681,0.002519369125366211,0.06328212477085114,0.20569634437561035,
SWA1,0.07579126467181635,0.028682947158813477,0.06654425451060755,0.38590502738952637,
SWA2,0.08617837439240003,0.0329742431640625,0.07579466190897567,0.40183568000793457,
SWA3,0.06322437335184804,0.0026297569274902344,0.06325082688264047,0.17781901359558105,
SWA4,0.06322213906553009,0.002338886260986328,0.06324987151949951,0.19138455390930176,
SWA5,0.07255039652817041,0.026247739791870117,0.06480929753341633,0.39359426498413086,
SWA6,0.06322437335184804,0.00243377685546875,0.06325082688264047,0.18696188926696777,
SWB1,0.07166238532638418,0.026378870010375977,0.06343888165661832,0.39900708198547363,
SWB2,0.08407714939297158,0.028003454208374023,0.07411857323777614,0.3930225372314453,
SWB3,0.0743373944110159,0.02880239486694336,0.06578817401317859,0.4080781936645508,
SWB4,0.08472465828527605,0.02831268310546875,0.07409775872293704,0.3946571350097656,
