switch,regression_tree_ReadsAvg_nmae,time_to_train_regression_tree_s,random_forest_ReadsAvg_nmae,time_to_train_random_forest_s,
SWC1,0.035848905362119696,0.030771255493164062,0.03094449677322463,0.4476625919342041,
SWC2,0.04336482314211721,0.0030188560485839844,0.04336129765777418,0.23714351654052734,
SWC3,0.04336482314211721,0.0028738975524902344,0.043361297657774175,0.24331355094909668,
SWC4,0.043397046398495995,0.003092527389526367,0.0433947597858575,0.27138566970825195,
SWA1,0.037251447657853716,0.0302579402923584,0.03232395257731723,0.44722676277160645,
SWA2,0.05939532853102124,0.04159975051879883,0.05130744479726454,0.47308874130249023,
SWA3,0.04336482314211721,0.002435445785522461,0.04336129765777418,0.20644545555114746,
SWA4,0.04336870296511271,0.003004789352416992,0.043364952835854925,0.2700686454772949,
SWA5,0.03576323019006951,0.03637218475341797,0.03078301164064408,0.4818592071533203,
SWA6,0.04336482314211721,0.0026323795318603516,0.04336129765777418,0.20667791366577148,
SWB1,0.03979674948493362,0.03863954544067383,0.034337868213503354,0.53053879737854,
SWB2,0.05845786968312895,0.0370945930480957,0.05069409491415567,0.49172329902648926,
SWB3,0.03591358061232585,0.031672000885009766,0.030669343991548536,0.45986461639404297,
SWB4,0.058155282176309345,0.04442763328552246,0.05071149835757021,0.5384914875030518,
