switch,regression_tree_WritesAvg_nmae,time_to_train_regression_tree_s,random_forest_WritesAvg_nmae,time_to_train_random_forest_s,
SWC1,0.0378244324209301,0.03831338882446289,0.032604600053338394,0.44899845123291016,
SWC2,0.045310412121687675,0.002960205078125,0.04530506075513688,0.21587228775024414,
SWC3,0.045310412121687675,0.002857208251953125,0.04530506075513688,0.2165536880493164,
SWC4,0.04532657743201489,0.003075122833251953,0.04532269303897583,0.25165367126464844,
SWA1,0.03920670533153363,0.03254365921020508,0.03395728121580786,0.4306657314300537,
SWA2,0.06163195139052226,0.03492450714111328,0.053428823827305,0.4447321891784668,
SWA3,0.045310412121687675,0.002458333969116211,0.04530506075513688,0.19056320190429688,
SWA4,0.04531470480014391,0.002999544143676758,0.04530906021412223,0.2270665168762207,
SWA5,0.037506873934212114,0.032649993896484375,0.03231602325836553,0.4312107563018799,
SWA6,0.045310412121687675,0.002510547637939453,0.04530506075513688,0.18088698387145996,
SWB1,0.04195707979482526,0.03579068183898926,0.03628145606082885,0.4598991870880127,
SWB2,0.06128285036267826,0.04143500328063965,0.05318818714073648,0.5030200481414795,
SWB3,0.03754498468460662,0.04120516777038574,0.032171202502564326,0.4894881248474121,
SWB4,0.061074764438563134,0.04244542121887207,0.053127626296962105,0.4877033233642578,
