switch,regression_tree_DispFrames_nmae,time_to_train_regression_tree_s,random_forest_DispFrames_nmae,time_to_train_random_forest_s,
SWC1,0.18918817924955883,0.03105449676513672,0.18502118214698612,0.45650315284729004,
SWC2,0.1850233319969708,0.0023202896118164062,0.1851706544146139,0.1986398696899414,
SWC3,0.1850233319969708,0.0021915435791015625,0.1851706544146139,0.22739839553833008,
SWC4,0.1851405389408046,0.0025398731231689453,0.18528193385808475,0.2506382465362549,
SWA1,0.1833407265258103,0.03193092346191406,0.17646046311743424,0.4254889488220215,
SWA2,0.17143125777490623,0.03138852119445801,0.16737487624438682,0.4899604320526123,
SWA3,0.1850233319969708,0.0022001266479492188,0.1851706544146139,0.19620156288146973,
SWA4,0.1850630638874755,0.002357006072998047,0.18520894010338015,0.2389087677001953,
SWA5,0.18710040598269995,0.02921748161315918,0.18364449441737432,0.4555482864379883,
SWA6,0.1850233319969708,0.004682779312133789,0.1851706544146139,0.22130966186523438,
SWB1,0.18881691240995574,0.03357052803039551,0.18337984390911916,0.46448588371276855,
SWB2,0.17762345827828618,0.02541804313659668,0.17162789698726644,0.4401426315307617,
SWB3,0.19037550988919855,0.03780817985534668,0.1859070710528656,0.5232882499694824,
SWB4,0.17898075198410784,0.033255577087402344,0.1739467027834834,0.452023983001709,
