switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC1,0.5203183135444083,0.047975778579711914,0.486005513015712,0.4727644920349121,
SWC2,0.4304765432321889,0.002170562744140625,0.43070860508371805,0.18631315231323242,
SWC3,0.4304765432321889,0.002309560775756836,0.43070860508371805,0.18904829025268555,
SWC4,0.43039503011726776,0.0031898021697998047,0.43063933703706714,0.30866575241088867,
SWA1,0.504558823984239,0.04684805870056152,0.4645131734583385,0.4832460880279541,
SWA2,0.476667728536568,0.029266357421875,0.4423495228973859,0.411945104598999,
SWA3,0.4304765432321889,0.0023107528686523438,0.43070860508371805,0.18601584434509277,
SWA4,0.43051277193563353,0.0023565292358398438,0.4307384831943126,0.19070172309875488,
SWA5,0.5202201163520749,0.03602480888366699,0.48656674003902955,0.444105863571167,
SWA6,0.4304765432321889,0.0023565292358398438,0.43070860508371805,0.18608856201171875,
SWB1,0.5219513251208522,0.030626773834228516,0.4835673378501832,0.44069957733154297,
SWB2,0.48901428575846895,0.03362393379211426,0.449382943129282,0.43619871139526367,
SWB3,0.5185337535451506,0.058765411376953125,0.48110989545908,0.48177552223205566,
SWB4,0.49241330038443815,0.03371620178222656,0.45542570136678806,0.4125814437866211,
