switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC1,0.3545225194536997,0.0638589859008789,0.3260798912454846,0.5628950595855713,
SWC2,0.29167990698645135,0.002431631088256836,0.29155985570773674,0.21217656135559082,
SWC3,0.29167990698645135,0.0021979808807373047,0.29155985570773674,0.1932697296142578,
SWC4,0.29169128125422694,0.0029616355895996094,0.291550709142248,0.22385406494140625,
SWA1,0.3434070320733226,0.04361248016357422,0.3160722137653776,0.5692322254180908,
SWA2,0.34507155200249806,0.04475069046020508,0.3187505677955921,0.5669429302215576,
SWA3,0.29167990698645135,0.002882719039916992,0.2915598557077368,0.2148587703704834,
SWA4,0.29167649258526784,0.002527475357055664,0.2915564619934688,0.20742535591125488,
SWA5,0.32219167704552154,0.03973650932312012,0.29494811091209766,0.4984438419342041,
SWA6,0.29167990698645135,0.0023860931396484375,0.29155985570773674,0.19949626922607422,
SWB1,0.32004857658885194,0.05390286445617676,0.29388653275437604,0.559746503829956,
SWB2,0.3516797777328323,0.04896378517150879,0.3233949926439814,0.5691835880279541,
SWB3,0.34758412194888283,0.04407835006713867,0.32263623938733593,0.5847218036651611,
SWB4,0.3479040035767131,0.04430556297302246,0.32193716336309036,0.5226912498474121,
