k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
1,0.055772693912970725,0.030489206314086914, 0.05390352831403079,0.030489206314086914,
2,0.06655011635512023,0.05356907844543457, 0.056765569876815844,0.05356907844543457,
3,0.06645631154759846,0.07217693328857422, 0.05671586715899926,0.07217693328857422,
4,0.05931578149760424,0.1432206630706787, 0.0456638378272477,0.1432206630706787,
5,0.0610663270306083,0.19846200942993164, 0.04574127212143374,0.19846200942993164,
6,0.06035136576541104,0.19557952880859375, 0.04560698411957021,0.19557952880859375,
7,0.06122616369623939,0.2583315372467041, 0.04440406308099194,0.2583315372467041,
8,0.05165575538579001,0.2764129638671875, 0.03955262313808756,0.2764129638671875,
9,0.052281179613505556,0.29984331130981445, 0.03891281701997825,0.29984331130981445,
10,0.05349580270221912,0.3286740779876709, 0.038895559547355914,0.3286740779876709,
11,0.05338199798778062,0.35564088821411133, 0.03773601872185498,0.35564088821411133,
12,0.05274307753464485,0.38948750495910645, 0.037662060279799105,0.38948750495910645,
13,0.05331054725389801,0.4083831310272217, 0.03687590789240301,0.4083831310272217,
14,0.05094988820842592,0.44420957565307617, 0.03664329451690448,0.44420957565307617,
15,0.05132338378644551,0.47858214378356934, 0.03676886550373254,0.47858214378356934,
16,0.052691315826717135,0.49856138229370117, 0.03661400774421228,0.49856138229370117,
