k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
1,0.05235976399467403,0.024714946746826172, 0.050629294816435,0.024714946746826172,
2,0.06230117755728188,0.049859046936035156, 0.05389644735158451,0.049859046936035156,
3,0.0621899340061637,0.07297325134277344, 0.053864144907549365,0.07297325134277344,
4,0.05733761616438362,0.1435399055480957, 0.04327370882785935,0.1435399055480957,
5,0.05834948233663025,0.19171857833862305, 0.04334330816399677,0.19171857833862305,
6,0.05840145310186144,0.2170102596282959, 0.043190894932528624,0.2170102596282959,
7,0.05801836874413507,0.24963998794555664, 0.04224864235282636,0.24963998794555664,
8,0.05440794209432343,0.3157196044921875, 0.038067248898409116,0.3157196044921875,
9,0.04872515097816671,0.36405038833618164, 0.03646884505155937,0.36405038833618164,
10,0.04870144594920112,0.34548163414001465, 0.03620546756900486,0.34548163414001465,
11,0.050326998802659735,0.37346577644348145, 0.03622985650924189,0.37346577644348145,
12,0.04954539993897972,0.41008710861206055, 0.03569514618933062,0.41008710861206055,
13,0.04919586689085841,0.4309408664703369, 0.035417002606997525,0.4309408664703369,
14,0.048926975006024935,0.4773263931274414, 0.035279075925466065,0.4773263931274414,
15,0.04964555703712051,0.49806928634643555, 0.03508107816497353,0.49806928634643555,
16,0.04853486066816855,0.501654863357544, 0.03468763306899122,0.501654863357544,
