switch,regression_tree_ReadsAvg_nmae,time_to_train_regression_tree_s,random_forest_ReadsAvg_nmae,time_to_train_random_forest_s,
SWC1,0.028327519001333245,0.09734225273132324,0.024725895485178773,0.09734225273132324,
SWC2,0.03941970186991526,0.0026445388793945312,0.03942393724692574,0.0026445388793945312,
SWC3,0.03941970186991526,0.0025577545166015625,0.0394239372469257,0.0025577545166015625,
SWC4,0.03944444547123442,0.0032329559326171875,0.039446849485510624,0.0032329559326171875,
SWA1,0.0287236518635907,0.07596325874328613,0.025144442445695407,0.07596325874328613,
SWA2,0.04968871989729011,0.11671829223632812,0.044128929149513475,0.11671829223632812,
SWA3,0.03941970186991526,0.0026030540466308594,0.03942393724692574,0.0026030540466308594,
SWA4,0.03941459162911863,0.002644777297973633,0.0394196199079226,0.002644777297973633,
SWA5,0.029383167429314756,0.10121703147888184,0.025507948425536955,0.10121703147888184,
SWA6,0.03941970186991526,0.002734661102294922,0.03942393724692574,0.002734661102294922,
SWB1,0.030409587569155305,0.09217500686645508,0.026090154915464257,0.09217500686645508,
SWB2,0.049749639925177024,0.08944487571716309,0.04420034225349481,0.08944487571716309,
SWB3,0.028744086653610345,0.07811713218688965,0.025040082542226918,0.07811713218688965,
SWB4,0.050956387341463454,0.06825542449951172,0.044830222909292346,0.06825542449951172,
