switch,regression_tree_WritesAvg_nmae,time_to_train_regression_tree_s,random_forest_WritesAvg_nmae,time_to_train_random_forest_s,
SWC1,0.03048842263139085,0.08670830726623535,0.02659972035020841,0.08670830726623535,
SWC2,0.040909699751963124,0.0024368762969970703,0.04090820871487975,0.0024368762969970703,
SWC3,0.040909699751963124,0.0024023056030273438,0.04090820871487975,0.0024023056030273438,
SWC4,0.04119413779621236,0.003388643264770508,0.0411726872502554,0.003388643264770508,
SWA1,0.0312521826130555,0.08206391334533691,0.027214431828823053,0.08206391334533691,
SWA2,0.05246396451321763,0.0844120979309082,0.0465036591438378,0.0844120979309082,
SWA3,0.040909699751963124,0.0030171871185302734,0.04090820871487975,0.0030171871185302734,
SWA4,0.04090825113845916,0.003327608108520508,0.0409068392156667,0.003327608108520508,
SWA5,0.03275742081891002,0.07327866554260254,0.02863930265512011,0.07327866554260254,
SWA6,0.040909699751963124,0.003159761428833008,0.04090820871487975,0.003159761428833008,
SWB1,0.03211148855340571,0.05480694770812988,0.028436808161987005,0.05480694770812988,
SWB2,0.052232224927603904,0.06861162185668945,0.046199753284436505,0.06861162185668945,
SWB3,0.031155449558910482,0.0866537094116211,0.02716566231622558,0.0866537094116211,
SWB4,0.05325462052015117,0.0811758041381836,0.046565788218465326,0.0811758041381836,
