k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
1,0.026553335550664026,0.013306856155395508, 0.02637819599947565,0.013306856155395508,
2,0.03423345382651941,0.05154085159301758, 0.028524552334012267,0.05154085159301758,
3,0.03537557754321623,0.09241247177124023, 0.026421663008910672,0.09241247177124023,
4,0.03528425688670483,0.1266465187072754, 0.025355191493325435,0.1266465187072754,
5,0.03415230174690874,0.1806468963623047, 0.023971444803108095,0.1806468963623047,
6,0.033982756535682154,0.22234582901000977, 0.024024271409631325,0.22234582901000977,
7,0.03399130208333407,0.2561359405517578, 0.023998682533721564,0.2561359405517578,
8,0.03302425862282908,0.2840762138366699, 0.023738487321475977,0.2840762138366699,
9,0.033499408298218514,0.3204050064086914, 0.023562562459386784,0.3204050064086914,
10,0.033600712053215215,0.3565704822540283, 0.023612554798772268,0.3565704822540283,
11,0.0332519968921842,0.40072011947631836, 0.023594168083371815,0.40072011947631836,
12,0.03332329605603754,0.44588375091552734, 0.02340418325981043,0.44588375091552734,
13,0.033252103989036094,0.5277352333068848, 0.023315414805901786,0.5277352333068848,
14,0.03356640364865926,0.5166716575622559, 0.023296435403983812,0.5166716575622559,
15,0.03300857129796965,0.5617775917053223, 0.02329638204570103,0.5617775917053223,
16,0.03309954113178005,0.6032068729400635, 0.023097755672746363,0.6032068729400635,
