k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
1,0.02769806348711386,0.013256072998046875, 0.027552663021884652,0.013256072998046875,
2,0.03566558244625389,0.05627703666687012, 0.02984023694138665,0.05627703666687012,
3,0.037257168213600755,0.10014724731445312, 0.02754280904359706,0.10014724731445312,
4,0.036341664532468086,0.12812447547912598, 0.026711480427670287,0.12812447547912598,
5,0.036280286030355734,0.15872716903686523, 0.02616772216164353,0.15872716903686523,
6,0.0355360888118476,0.24151206016540527, 0.0250760537376314,0.24151206016540527,
7,0.03583707131389302,0.2436811923980713, 0.025072859441778783,0.2436811923980713,
8,0.035832421565190495,0.2880425453186035, 0.0250423626292048,0.2880425453186035,
9,0.03503256457603919,0.3452742099761963, 0.024690951760629482,0.3452742099761963,
10,0.0359155590391015,0.37331414222717285, 0.02446954063267454,0.37331414222717285,
11,0.03566496740105371,0.4166991710662842, 0.024469328191128764,0.4166991710662842,
12,0.035345637103071474,0.45037078857421875, 0.024475121161081116,0.45037078857421875,
13,0.03512069406225669,0.501469612121582, 0.024415533016241237,0.501469612121582,
14,0.03462354908556035,0.5393528938293457, 0.024442697848948404,0.5393528938293457,
15,0.03492658003013635,0.6251237392425537, 0.024394706681928804,0.6251237392425537,
16,0.0344801364214459,0.610743522644043, 0.024292009210496807,0.610743522644043,
