k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
1,0.24686154939124955,0.011550426483154297, 0.2469145291152994,0.011550426483154297,
2,0.2574360126157242,0.024428367614746094, 0.25387264598150094,0.024428367614746094,
3,0.2843620306195956,0.05965232849121094, 0.2587365642433269,0.05965232849121094,
4,0.2721883806139649,0.11460280418395996, 0.23857375688982416,0.11460280418395996,
5,0.2772365289790464,0.1276865005493164, 0.23823503677003685,0.1276865005493164,
6,0.2758622559770572,0.21562552452087402, 0.2378770228220465,0.21562552452087402,
7,0.283130066750403,0.23505711555480957, 0.23267879146100615,0.23505711555480957,
8,0.27179367031765556,0.28129100799560547, 0.23112780368323965,0.28129100799560547,
9,0.27192166101555204,0.4079782962799072, 0.23053819380418966,0.4079782962799072,
10,0.2764870241295006,0.3644828796386719, 0.22765660827904577,0.3644828796386719,
11,0.2744944909766558,0.4392709732055664, 0.2275772770955223,0.4392709732055664,
12,0.2761507773807897,0.527346134185791, 0.22748082308865417,0.527346134185791,
13,0.2758741873133017,0.5000288486480713, 0.2270754288230713,0.5000288486480713,
14,0.27029682995242654,0.5674750804901123, 0.2259450974139371,0.5674750804901123,
15,0.28229758488061074,0.5192153453826904, 0.22814737803462695,0.5192153453826904,
16,0.28182900876627814,0.62422776222229, 0.22910936913601943,0.62422776222229,
