switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC1,0.34540730327938207,0.08461189270019531,0.3239676101732358,0.08461189270019531,
SWC2,0.328420570989606,0.0025284290313720703,0.3282447252252443,0.0025284290313720703,
SWC3,0.328420570989606,0.002376556396484375,0.3282447252252442,0.002376556396484375,
SWC4,0.3283406367036278,0.003352642059326172,0.32816324120333434,0.003352642059326172,
SWA1,0.34737434675934065,0.0764305591583252,0.32834220952438803,0.0764305591583252,
SWA2,0.3421451674834209,0.0778048038482666,0.3245565960088099,0.0778048038482666,
SWA3,0.328420570989606,0.002556324005126953,0.3282447252252443,0.002556324005126953,
SWA4,0.32844069871617476,0.002668619155883789,0.3282687657500186,0.002668619155883789,
SWA5,0.3608600107165093,0.08750200271606445,0.3452184457864357,0.08750200271606445,
SWA6,0.328420570989606,0.002625703811645508,0.3282447252252442,0.002625703811645508,
SWB1,0.3748690264680425,0.09008073806762695,0.35783612326024156,0.09008073806762695,
SWB2,0.3422395335064462,0.08143329620361328,0.32761269999908244,0.08143329620361328,
SWB3,0.33852997260131334,0.07771754264831543,0.3182120292519693,0.07771754264831543,
SWB4,0.3441033786755101,0.08344006538391113,0.32284473364303357,0.08344006538391113,
