k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
1,0.14341523570316367,0.01077413558959961, 0.14344228325122582,0.01077413558959961,
2,0.09692877297252678,0.07002067565917969, 0.10166733876085098,0.07002067565917969,
3,0.10185130987490337,0.06341361999511719, 0.10317913651940191,0.06341361999511719,
4,0.10312591458610054,0.08983993530273438, 0.10810026547117868,0.08983993530273438,
5,0.10746527386929017,0.09403228759765625, 0.1086164207729163,0.09403228759765625,
6,0.11056361016682051,0.11315488815307617, 0.1114267278321899,0.11315488815307617,
7,0.09576420000450257,0.13866281509399414, 0.09907841759496598,0.13866281509399414,
8,0.0999544114005268,0.16463279724121094, 0.10167307189616055,0.16463279724121094,
9,0.10138679393953037,0.22745108604431152, 0.10251135962838726,0.22745108604431152,
10,0.10165132038091808,0.2565743923187256, 0.10289698664985704,0.2565743923187256,
11,0.10544474211486077,0.2373208999633789, 0.1045150067163451,0.2373208999633789,
12,0.1074202480920327,0.282473087310791, 0.10544647748335922,0.282473087310791,
13,0.10637902699295347,0.29774022102355957, 0.10591868532234701,0.29774022102355957,
14,0.10663229699002678,0.3261997699737549, 0.1066151309124474,0.3261997699737549,
15,0.10858529007856998,0.3616621494293213, 0.10703255738910525,0.3616621494293213,
16,0.0964733559963079,0.3945615291595459, 0.10177204574618968,0.3945615291595459,
